
>>> [1/63] EAR | dynahate | seed=123
>>> Command: python3 src_script/train/train_baseline_ear.py --dataset dynahate --seed 123 --lambda_ear 0.1 --epochs 6 --patience 3 --batch_size 16 --grad_accum 2 --lr 2e-5 --max_len 128
>>> Start: Sun Mar 15 06:26:11 CST 2026
/root/miniconda/lib/python3.8/site-packages/torchvision/datapoints/__init__.py:12: UserWarning: The torchvision.datapoints and torchvision.transforms.v2 namespaces are still Beta. While we do not expect major breaking changes, some APIs may still change according to user feedback. Please submit any feedback you may have in this issue: https://github.com/pytorch/vision/issues/6753, and you can also check out https://github.com/pytorch/vision/issues/7319 to learn more about the APIs that we suspect might involve future changes. You can silence this warning by calling torchvision.disable_beta_transforms_warning().
  warnings.warn(_BETA_TRANSFORMS_WARNING)
/root/miniconda/lib/python3.8/site-packages/torchvision/transforms/v2/__init__.py:54: UserWarning: The torchvision.datapoints and torchvision.transforms.v2 namespaces are still Beta. While we do not expect major breaking changes, some APIs may still change according to user feedback. Please submit any feedback you may have in this issue: https://github.com/pytorch/vision/issues/6753, and you can also check out https://github.com/pytorch/vision/issues/7319 to learn more about the APIs that we suspect might involve future changes. You can silence this warning by calling torchvision.disable_beta_transforms_warning().
  warnings.warn(_BETA_TRANSFORMS_WARNING)
[Hardware] TF32 acceleration enabled for Ampere+ GPUs.
[Experiment] EAR_dynahate_seed123_0315_0626
[Data] Train: 8844 | Val: 1091 | Test: 1111
[Model] EAR | lambda_ear=0.1

Epoch 1/6

[Train]:   0%|          | 0/553 [00:00<?, ?it/s]
[Train]:   6%|▌         | 34/553 [00:04<00:50, 10.38it/s, ce=0.7066, ear=-1.5236, loss=0.5542]
[Train]:   7%|▋         | 36/553 [00:04<00:51, 10.10it/s, ce=0.7066, ear=-1.5236, loss=0.5542]
[Train]:   7%|▋         | 36/553 [00:04<00:51, 10.10it/s, ce=0.7050, ear=-1.5193, loss=0.5531]
[Train]:   7%|▋         | 36/553 [00:04<00:51, 10.10it/s, ce=0.7058, ear=-1.5180, loss=0.5540]
[Train]:   7%|▋         | 38/553 [00:04<00:50, 10.14it/s, ce=0.7058, ear=-1.5180, loss=0.5540]
[Train]:   7%|▋         | 38/553 [00:04<00:50, 10.14it/s, ce=0.7043, ear=-1.5182, loss=0.5525]
[Train]:   7%|▋         | 38/553 [00:04<00:50, 10.14it/s, ce=0.7032, ear=-1.5205, loss=0.5512]
[Train]:   7%|▋         | 40/553 [00:04<00:50, 10.16it/s, ce=0.7032, ear=-1.5205, loss=0.5512]
[Train]:   7%|▋         | 40/553 [00:04<00:50, 10.16it/s, ce=0.7030, ear=-1.5204, loss=0.5510]
[Train]:   7%|▋         | 40/553 [00:04<00:50, 10.16it/s, ce=0.7033, ear=-1.5186, loss=0.5515]
[Train]:   8%|▊         | 42/553 [00:04<00:49, 10.29it/s, ce=0.7033, ear=-1.5186, loss=0.5515]
[Train]:   8%|▊         | 42/553 [00:04<00:49, 10.29it/s, ce=0.7033, ear=-1.5172, loss=0.5516]
[Train]:   8%|▊         | 42/553 [00:05<00:49, 10.29it/s, ce=0.7034, ear=-1.5181, loss=0.5516]
[Train]:   8%|▊         | 44/553 [00:05<00:49, 10.26it/s, ce=0.7034, ear=-1.5181, loss=0.5516]
[Train]:   8%|▊         | 44/553 [00:05<00:49, 10.26it/s, ce=0.7045, ear=-1.5212, loss=0.5524]
[Train]:   8%|▊         | 44/553 [00:05<00:49, 10.26it/s, ce=0.7037, ear=-1.5239, loss=0.5513]
[Train]:   8%|▊         | 46/553 [00:05<00:49, 10.21it/s, ce=0.7037, ear=-1.5239, loss=0.5513]
[Train]:   8%|▊         | 46/553 [00:05<00:49, 10.21it/s, ce=0.7044, ear=-1.5227, loss=0.5521]
[Train]:   8%|▊         | 46/553 [00:05<00:49, 10.21it/s, ce=0.7054, ear=-1.5230, loss=0.5531]
[Train]:   9%|▊         | 48/553 [00:05<00:49, 10.26it/s, ce=0.7054, ear=-1.5230, loss=0.5531]
[Train]:   9%|▊         | 48/553 [00:05<00:49, 10.26it/s, ce=0.7057, ear=-1.5243, loss=0.5533]
[Train]:   9%|▊         | 48/553 [00:05<00:49, 10.26it/s, ce=0.7052, ear=-1.5274, loss=0.5525]
[Train]:   9%|▉         | 50/553 [00:05<00:48, 10.32it/s, ce=0.7052, ear=-1.5274, loss=0.5525]
[Train]:   9%|▉         | 50/553 [00:05<00:48, 10.32it/s, ce=0.7043, ear=-1.5289, loss=0.5515]
[Train]:   9%|▉         | 50/553 [00:05<00:48, 10.32it/s, ce=0.7033, ear=-1.5286, loss=0.5504]
[Train]:   9%|▉         | 52/553 [00:05<00:48, 10.41it/s, ce=0.7033, ear=-1.5286, loss=0.5504]
[Train]:   9%|▉         | 52/553 [00:05<00:48, 10.41it/s, ce=0.7036, ear=-1.5309, loss=0.5505]
[Train]:   9%|▉         | 52/553 [00:06<00:48, 10.41it/s, ce=0.7031, ear=-1.5312, loss=0.5499]
[Train]:  10%|▉         | 54/553 [00:06<00:46, 10.83it/s, ce=0.7031, ear=-1.5312, loss=0.5499]
[Train]:  10%|▉         | 54/553 [00:06<00:46, 10.83it/s, ce=0.7046, ear=-1.5313, loss=0.5514]
[Train]:  10%|▉         | 54/553 [00:06<00:46, 10.83it/s, ce=0.7032, ear=-1.5309, loss=0.5501]
[Train]:  10%|█         | 56/553 [00:06<00:47, 10.48it/s, ce=0.7032, ear=-1.5309, loss=0.5501]
[Train]:  10%|█         | 56/553 [00:06<00:47, 10.48it/s, ce=0.7035, ear=-1.5313, loss=0.5504]
[Train]:  10%|█         | 56/553 [00:06<00:47, 10.48it/s, ce=0.7038, ear=-1.5320, loss=0.5506]
[Train]:  10%|█         | 58/553 [00:06<00:48, 10.12it/s, ce=0.7038, ear=-1.5320, loss=0.5506]
[Train]:  10%|█         | 58/553 [00:06<00:48, 10.12it/s, ce=0.7031, ear=-1.5343, loss=0.5497]
[Train]:  10%|█         | 58/553 [00:06<00:48, 10.12it/s, ce=0.7034, ear=-1.5350, loss=0.5499]
[Train]:  11%|█         | 60/553 [00:06<00:48, 10.19it/s, ce=0.7034, ear=-1.5350, loss=0.5499]
[Train]:  11%|█         | 60/553 [00:06<00:48, 10.19it/s, ce=0.7026, ear=-1.5358, loss=0.5490]
[Train]:  11%|█         | 60/553 [00:06<00:48, 10.19it/s, ce=0.7034, ear=-1.5380, loss=0.5496]
[Train]:  11%|█         | 62/553 [00:06<00:47, 10.35it/s, ce=0.7034, ear=-1.5380, loss=0.5496]
[Train]:  11%|█         | 62/553 [00:06<00:47, 10.35it/s, ce=0.7040, ear=-1.5379, loss=0.5502]
[Train]:  11%|█         | 62/553 [00:07<00:47, 10.35it/s, ce=0.7043, ear=-1.5395, loss=0.5503]
[Train]:  12%|█▏        | 64/553 [00:07<00:47, 10.26it/s, ce=0.7043, ear=-1.5395, loss=0.5503]
[Train]:  12%|█▏        | 64/553 [00:07<00:47, 10.26it/s, ce=0.7041, ear=-1.5398, loss=0.5501]
[Train]:  12%|█▏        | 64/553 [00:07<00:47, 10.26it/s, ce=0.7034, ear=-1.5403, loss=0.5493]
[Train]:  12%|█▏        | 66/553 [00:07<00:47, 10.24it/s, ce=0.7034, ear=-1.5403, loss=0.5493]
[Train]:  12%|█▏        | 66/553 [00:07<00:47, 10.24it/s, ce=0.7032, ear=-1.5416, loss=0.5490]
[Train]:  12%|█▏        | 66/553 [00:07<00:47, 10.24it/s, ce=0.7026, ear=-1.5429, loss=0.5483]
[Train]:  12%|█▏        | 68/553 [00:07<00:47, 10.26it/s, ce=0.7026, ear=-1.5429, loss=0.5483]
[Train]:  12%|█▏        | 68/553 [00:07<00:47, 10.26it/s, ce=0.7023, ear=-1.5463, loss=0.5477]
[Train]:  12%|█▏        | 68/553 [00:07<00:47, 10.26it/s, ce=0.7022, ear=-1.5480, loss=0.5474]
[Train]:  13%|█▎        | 70/553 [00:07<00:46, 10.33it/s, ce=0.7022, ear=-1.5480, loss=0.5474]
[Train]:  13%|█▎        | 70/553 [00:07<00:46, 10.33it/s, ce=0.7023, ear=-1.5487, loss=0.5474]
[Train]:  13%|█▎        | 70/553 [00:07<00:46, 10.33it/s, ce=0.7026, ear=-1.5529, loss=0.5473]
[Train]:  13%|█▎        | 72/553 [00:07<00:46, 10.35it/s, ce=0.7026, ear=-1.5529, loss=0.5473]
[Train]:  13%|█▎        | 72/553 [00:07<00:46, 10.35it/s, ce=0.7026, ear=-1.5539, loss=0.5472]
[Train]:  13%|█▎        | 72/553 [00:08<00:46, 10.35it/s, ce=0.7017, ear=-1.5538, loss=0.5463]
[Train]:  13%|█▎        | 74/553 [00:08<00:47, 10.01it/s, ce=0.7017, ear=-1.5538, loss=0.5463]
[Train]:  13%|█▎        | 74/553 [00:08<00:47, 10.01it/s, ce=0.7021, ear=-1.5541, loss=0.5467]
[Train]:  13%|█▎        | 74/553 [00:08<00:47, 10.01it/s, ce=0.7023, ear=-1.5538, loss=0.5470]
[Train]:  14%|█▎        | 76/553 [00:08<00:49,  9.73it/s, ce=0.7023, ear=-1.5538, loss=0.5470]
[Train]:  14%|█▎        | 76/553 [00:08<00:49,  9.73it/s, ce=0.7015, ear=-1.5571, loss=0.5458]
[Train]:  14%|█▎        | 76/553 [00:08<00:49,  9.73it/s, ce=0.7010, ear=-1.5592, loss=0.5451]
[Train]:  14%|█▍        | 78/553 [00:08<00:49,  9.60it/s, ce=0.7010, ear=-1.5592, loss=0.5451]
[Train]:  14%|█▍        | 78/553 [00:08<00:49,  9.60it/s, ce=0.7010, ear=-1.5611, loss=0.5449]
[Train]:  14%|█▍        | 78/553 [00:08<00:49,  9.60it/s, ce=0.7008, ear=-1.5616, loss=0.5446]
[Train]:  14%|█▍        | 80/553 [00:08<00:50,  9.44it/s, ce=0.7008, ear=-1.5616, loss=0.5446]
[Train]:  14%|█▍        | 80/553 [00:08<00:50,  9.44it/s, ce=0.7004, ear=-1.5639, loss=0.5441]
[Train]:  14%|█▍        | 80/553 [00:08<00:50,  9.44it/s, ce=0.7005, ear=-1.5645, loss=0.5440]
[Train]:  15%|█▍        | 82/553 [00:08<00:50,  9.34it/s, ce=0.7005, ear=-1.5645, loss=0.5440]
[Train]:  15%|█▍        | 82/553 [00:08<00:50,  9.34it/s, ce=0.7007, ear=-1.5648, loss=0.5443]
[Train]:  15%|█▍        | 82/553 [00:09<00:50,  9.34it/s, ce=0.7003, ear=-1.5658, loss=0.5437]
[Train]:  15%|█▌        | 84/553 [00:09<00:50,  9.33it/s, ce=0.7003, ear=-1.5658, loss=0.5437]
[Train]:  15%|█▌        | 84/553 [00:09<00:50,  9.33it/s, ce=0.7003, ear=-1.5660, loss=0.5437]
[Train]:  15%|█▌        | 85/553 [00:09<00:49,  9.42it/s, ce=0.7003, ear=-1.5660, loss=0.5437]
[Train]:  15%|█▌        | 85/553 [00:09<00:49,  9.42it/s, ce=0.6998, ear=-1.5655, loss=0.5432]
[Train]:  16%|█▌        | 86/553 [00:09<00:50,  9.20it/s, ce=0.6998, ear=-1.5655, loss=0.5432]
[Train]:  16%|█▌        | 86/553 [00:09<00:50,  9.20it/s, ce=0.6995, ear=-1.5660, loss=0.5429]
[Train]:  16%|█▌        | 86/553 [00:09<00:50,  9.20it/s, ce=0.6988, ear=-1.5653, loss=0.5423]
[Train]:  16%|█▌        | 88/553 [00:09<00:50,  9.27it/s, ce=0.6988, ear=-1.5653, loss=0.5423]
[Train]:  16%|█▌        | 88/553 [00:09<00:50,  9.27it/s, ce=0.6986, ear=-1.5667, loss=0.5420]
[Train]:  16%|█▌        | 88/553 [00:09<00:50,  9.27it/s, ce=0.6988, ear=-1.5669, loss=0.5421]
[Train]:  16%|█▋        | 90/553 [00:09<00:49,  9.29it/s, ce=0.6988, ear=-1.5669, loss=0.5421]
[Train]:  16%|█▋        | 90/553 [00:09<00:49,  9.29it/s, ce=0.6994, ear=-1.5685, loss=0.5426]
[Train]:  16%|█▋        | 90/553 [00:09<00:49,  9.29it/s, ce=0.7000, ear=-1.5704, loss=0.5429]
[Train]:  17%|█▋        | 92/553 [00:09<00:49,  9.38it/s, ce=0.7000, ear=-1.5704, loss=0.5429]
[Train]:  17%|█▋        | 92/553 [00:10<00:49,  9.38it/s, ce=0.7001, ear=-1.5721, loss=0.5429]
[Train]:  17%|█▋        | 92/553 [00:10<00:49,  9.38it/s, ce=0.7002, ear=-1.5717, loss=0.5431]
[Train]:  17%|█▋        | 94/553 [00:10<00:49,  9.32it/s, ce=0.7002, ear=-1.5717, loss=0.5431]
[Train]:  17%|█▋        | 94/553 [00:10<00:49,  9.32it/s, ce=0.6989, ear=-1.5718, loss=0.5418]
[Train]:  17%|█▋        | 94/553 [00:10<00:49,  9.32it/s, ce=0.6992, ear=-1.5735, loss=0.5418]
[Train]:  17%|█▋        | 96/553 [00:10<00:48,  9.39it/s, ce=0.6992, ear=-1.5735, loss=0.5418]
[Train]:  17%|█▋        | 96/553 [00:10<00:48,  9.39it/s, ce=0.6993, ear=-1.5747, loss=0.5418]
[Train]:  17%|█▋        | 96/553 [00:10<00:48,  9.39it/s, ce=0.6990, ear=-1.5764, loss=0.5414]
[Train]:  18%|█▊        | 98/553 [00:10<00:47,  9.48it/s, ce=0.6990, ear=-1.5764, loss=0.5414]
[Train]:  18%|█▊        | 98/553 [00:10<00:47,  9.48it/s, ce=0.6996, ear=-1.5769, loss=0.5419]
[Train]:  18%|█▊        | 98/553 [00:10<00:47,  9.48it/s, ce=0.7000, ear=-1.5790, loss=0.5421]
[Train]:  18%|█▊        | 100/553 [00:10<00:47,  9.56it/s, ce=0.7000, ear=-1.5790, loss=0.5421]
[Train]:  18%|█▊        | 100/553 [00:10<00:47,  9.56it/s, ce=0.6998, ear=-1.5801, loss=0.5418]
[Train]:  18%|█▊        | 100/553 [00:11<00:47,  9.56it/s, ce=0.6998, ear=-1.5810, loss=0.5417]
[Train]:  18%|█▊        | 102/553 [00:11<00:47,  9.49it/s, ce=0.6998, ear=-1.5810, loss=0.5417]
[Train]:  18%|█▊        | 102/553 [00:11<00:47,  9.49it/s, ce=0.6997, ear=-1.5826, loss=0.5415]
[Train]:  18%|█▊        | 102/553 [00:11<00:47,  9.49it/s, ce=0.6997, ear=-1.5844, loss=0.5413]
[Train]:  19%|█▉        | 104/553 [00:11<00:47,  9.44it/s, ce=0.6997, ear=-1.5844, loss=0.5413]
[Train]:  19%|█▉        | 104/553 [00:11<00:47,  9.44it/s, ce=0.6992, ear=-1.5854, loss=0.5407]
[Train]:  19%|█▉        | 104/553 [00:11<00:47,  9.44it/s, ce=0.6992, ear=-1.5855, loss=0.5406]
[Train]:  19%|█▉        | 106/553 [00:11<00:46,  9.53it/s, ce=0.6992, ear=-1.5855, loss=0.5406]
[Train]:  19%|█▉        | 106/553 [00:11<00:46,  9.53it/s, ce=0.6984, ear=-1.5874, loss=0.5397]
[Train]:  19%|█▉        | 106/553 [00:11<00:46,  9.53it/s, ce=0.6981, ear=-1.5874, loss=0.5394]
[Train]:  20%|█▉        | 108/553 [00:11<00:46,  9.61it/s, ce=0.6981, ear=-1.5874, loss=0.5394]
[Train]:  20%|█▉        | 108/553 [00:11<00:46,  9.61it/s, ce=0.6981, ear=-1.5883, loss=0.5393]
[Train]:  20%|█▉        | 108/553 [00:11<00:46,  9.61it/s, ce=0.6980, ear=-1.5889, loss=0.5391]
[Train]:  20%|█▉        | 110/553 [00:11<00:46,  9.62it/s, ce=0.6980, ear=-1.5889, loss=0.5391]
[Train]:  20%|█▉        | 110/553 [00:11<00:46,  9.62it/s, ce=0.6970, ear=-1.5893, loss=0.5381]
[Train]:  20%|█▉        | 110/553 [00:12<00:46,  9.62it/s, ce=0.6968, ear=-1.5909, loss=0.5377]
[Train]:  20%|██        | 112/553 [00:12<00:46,  9.51it/s, ce=0.6968, ear=-1.5909, loss=0.5377]
[Train]:  20%|██        | 112/553 [00:12<00:46,  9.51it/s, ce=0.6961, ear=-1.5930, loss=0.5368]
[Train]:  20%|██        | 112/553 [00:12<00:46,  9.51it/s, ce=0.6962, ear=-1.5940, loss=0.5368]
[Train]:  21%|██        | 114/553 [00:12<00:46,  9.46it/s, ce=0.6962, ear=-1.5940, loss=0.5368]
[Train]:  21%|██        | 114/553 [00:12<00:46,  9.46it/s, ce=0.6964, ear=-1.5951, loss=0.5369]
[Train]:  21%|██        | 114/553 [00:12<00:46,  9.46it/s, ce=0.6967, ear=-1.5959, loss=0.5372]
[Train]:  21%|██        | 116/553 [00:12<00:46,  9.38it/s, ce=0.6967, ear=-1.5959, loss=0.5372]
[Train]:  21%|██        | 116/553 [00:12<00:46,  9.38it/s, ce=0.6958, ear=-1.5978, loss=0.5360]
[Train]:  21%|██        | 116/553 [00:12<00:46,  9.38it/s, ce=0.6958, ear=-1.5995, loss=0.5359]
[Train]:  21%|██▏       | 118/553 [00:12<00:46,  9.30it/s, ce=0.6958, ear=-1.5995, loss=0.5359]
[Train]:  21%|██▏       | 118/553 [00:12<00:46,  9.30it/s, ce=0.6949, ear=-1.6007, loss=0.5348]
[Train]:  21%|██▏       | 118/553 [00:12<00:46,  9.30it/s, ce=0.6945, ear=-1.6010, loss=0.5344]
[Train]:  22%|██▏       | 120/553 [00:12<00:46,  9.36it/s, ce=0.6945, ear=-1.6010, loss=0.5344]
[Train]:  22%|██▏       | 120/553 [00:13<00:46,  9.36it/s, ce=0.6941, ear=-1.6042, loss=0.5337]
[Train]:  22%|██▏       | 120/553 [00:13<00:46,  9.36it/s, ce=0.6932, ear=-1.6066, loss=0.5325]
[Train]:  22%|██▏       | 122/553 [00:13<00:46,  9.31it/s, ce=0.6932, ear=-1.6066, loss=0.5325]
[Train]:  22%|██▏       | 122/553 [00:13<00:46,  9.31it/s, ce=0.6931, ear=-1.6076, loss=0.5323]
[Train]:  22%|██▏       | 122/553 [00:13<00:46,  9.31it/s, ce=0.6921, ear=-1.6095, loss=0.5311]
[Train]:  22%|██▏       | 124/553 [00:13<00:46,  9.25it/s, ce=0.6921, ear=-1.6095, loss=0.5311]
[Train]:  22%|██▏       | 124/553 [00:13<00:46,  9.25it/s, ce=0.6919, ear=-1.6107, loss=0.5308]
[Train]:  22%|██▏       | 124/553 [00:13<00:46,  9.25it/s, ce=0.6922, ear=-1.6126, loss=0.5309]
[Train]:  23%|██▎       | 126/553 [00:13<00:45,  9.34it/s, ce=0.6922, ear=-1.6126, loss=0.5309]
[Train]:  23%|██▎       | 126/553 [00:13<00:45,  9.34it/s, ce=0.6917, ear=-1.6134, loss=0.5304]
[Train]:  23%|██▎       | 126/553 [00:13<00:45,  9.34it/s, ce=0.6913, ear=-1.6155, loss=0.5297]
[Train]:  23%|██▎       | 128/553 [00:13<00:45,  9.36it/s, ce=0.6913, ear=-1.6155, loss=0.5297]
[Train]:  23%|██▎       | 128/553 [00:13<00:45,  9.36it/s, ce=0.6909, ear=-1.6174, loss=0.5292]
[Train]:  23%|██▎       | 128/553 [00:14<00:45,  9.36it/s, ce=0.6910, ear=-1.6187, loss=0.5291]
[Train]:  24%|██▎       | 130/553 [00:14<00:45,  9.31it/s, ce=0.6910, ear=-1.6187, loss=0.5291]
[Train]:  24%|██▎       | 130/553 [00:14<00:45,  9.31it/s, ce=0.6907, ear=-1.6211, loss=0.5286]
[Train]:  24%|██▎       | 130/553 [00:14<00:45,  9.31it/s, ce=0.6902, ear=-1.6234, loss=0.5279]
[Train]:  24%|██▍       | 132/553 [00:14<00:44,  9.39it/s, ce=0.6902, ear=-1.6234, loss=0.5279]
[Train]:  24%|██▍       | 132/553 [00:14<00:44,  9.39it/s, ce=0.6899, ear=-1.6253, loss=0.5274]
[Train]:  24%|██▍       | 132/553 [00:14<00:44,  9.39it/s, ce=0.6892, ear=-1.6254, loss=0.5267]
[Train]:  24%|██▍       | 134/553 [00:14<00:44,  9.48it/s, ce=0.6892, ear=-1.6254, loss=0.5267]
