
>>> [1/63] GetFair | hatexplain | seed=123
>>> Command: python3 src_script/train/train_baseline_getfair.py --dataset hatexplain --seed 123 --lambda_gf 0.5 --epochs 6 --patience 3 --batch_size 16 --grad_accum 2 --lr 2e-5 --max_len 128
>>> Start: Sun Mar 15 02:07:50 CST 2026
/root/miniconda/lib/python3.8/site-packages/torchvision/datapoints/__init__.py:12: UserWarning: The torchvision.datapoints and torchvision.transforms.v2 namespaces are still Beta. While we do not expect major breaking changes, some APIs may still change according to user feedback. Please submit any feedback you may have in this issue: https://github.com/pytorch/vision/issues/6753, and you can also check out https://github.com/pytorch/vision/issues/7319 to learn more about the APIs that we suspect might involve future changes. You can silence this warning by calling torchvision.disable_beta_transforms_warning().
  warnings.warn(_BETA_TRANSFORMS_WARNING)
/root/miniconda/lib/python3.8/site-packages/torchvision/transforms/v2/__init__.py:54: UserWarning: The torchvision.datapoints and torchvision.transforms.v2 namespaces are still Beta. While we do not expect major breaking changes, some APIs may still change according to user feedback. Please submit any feedback you may have in this issue: https://github.com/pytorch/vision/issues/6753, and you can also check out https://github.com/pytorch/vision/issues/7319 to learn more about the APIs that we suspect might involve future changes. You can silence this warning by calling torchvision.disable_beta_transforms_warning().
  warnings.warn(_BETA_TRANSFORMS_WARNING)
[Hardware] TF32 acceleration enabled for Ampere+ GPUs.
[Experiment] GetFair_hatexplain_seed123_0315_0207
[Data] Train: 15383 | Val: 1922 | Test: 1924
[Model] GetFair | lambda_gf=0.5

Epoch 1/6

[Train]:   0%|          | 0/962 [00:00<?, ?it/s]
[Train]:   2%|▏         | 22/962 [00:05<03:30,  4.47it/s, ce=0.7136, gf=0.0000, loss=0.7136]
[Train]:   2%|▏         | 22/962 [00:05<03:30,  4.47it/s, ce=0.7114, gf=0.0000, loss=0.7114]
[Train]:   2%|▏         | 23/962 [00:05<03:24,  4.58it/s, ce=0.7114, gf=0.0000, loss=0.7114]
[Train]:   2%|▏         | 23/962 [00:05<03:24,  4.58it/s, ce=0.7126, gf=0.0000, loss=0.7126]
[Train]:   2%|▏         | 24/962 [00:05<03:29,  4.47it/s, ce=0.7126, gf=0.0000, loss=0.7126]
[Train]:   2%|▏         | 24/962 [00:06<03:29,  4.47it/s, ce=0.7104, gf=0.0000, loss=0.7104]
[Train]:   3%|▎         | 25/962 [00:06<03:25,  4.57it/s, ce=0.7104, gf=0.0000, loss=0.7104]
[Train]:   3%|▎         | 25/962 [00:06<03:25,  4.57it/s, ce=0.7101, gf=0.0000, loss=0.7101]
[Train]:   3%|▎         | 26/962 [00:06<03:29,  4.48it/s, ce=0.7101, gf=0.0000, loss=0.7101]
[Train]:   3%|▎         | 26/962 [00:06<03:29,  4.48it/s, ce=0.7089, gf=0.0000, loss=0.7089]
[Train]:   3%|▎         | 27/962 [00:06<03:28,  4.49it/s, ce=0.7089, gf=0.0000, loss=0.7089]
[Train]:   3%|▎         | 27/962 [00:06<03:28,  4.49it/s, ce=0.7083, gf=0.0000, loss=0.7083]
[Train]:   3%|▎         | 28/962 [00:06<03:30,  4.43it/s, ce=0.7083, gf=0.0000, loss=0.7083]
[Train]:   3%|▎         | 28/962 [00:06<03:30,  4.43it/s, ce=0.7104, gf=0.0000, loss=0.7104]
[Train]:   3%|▎         | 29/962 [00:06<03:26,  4.52it/s, ce=0.7104, gf=0.0000, loss=0.7104]
[Train]:   3%|▎         | 29/962 [00:07<03:26,  4.52it/s, ce=0.7085, gf=0.0000, loss=0.7085]
[Train]:   3%|▎         | 30/962 [00:07<03:29,  4.45it/s, ce=0.7085, gf=0.0000, loss=0.7085]
[Train]:   3%|▎         | 30/962 [00:07<03:29,  4.45it/s, ce=0.7097, gf=0.0000, loss=0.7097]
[Train]:   3%|▎         | 31/962 [00:07<03:24,  4.56it/s, ce=0.7097, gf=0.0000, loss=0.7097]
[Train]:   3%|▎         | 31/962 [00:07<03:24,  4.56it/s, ce=0.7080, gf=0.0000, loss=0.7080]
[Train]:   3%|▎         | 32/962 [00:07<03:28,  4.46it/s, ce=0.7080, gf=0.0000, loss=0.7080]
[Train]:   3%|▎         | 32/962 [00:07<03:28,  4.46it/s, ce=0.7081, gf=0.0000, loss=0.7081]
[Train]:   3%|▎         | 33/962 [00:07<03:23,  4.56it/s, ce=0.7081, gf=0.0000, loss=0.7081]
[Train]:   3%|▎         | 33/962 [00:08<03:23,  4.56it/s, ce=0.7077, gf=0.0000, loss=0.7077]
[Train]:   4%|▎         | 34/962 [00:08<03:30,  4.41it/s, ce=0.7077, gf=0.0000, loss=0.7077]
[Train]:   4%|▎         | 34/962 [00:08<03:30,  4.41it/s, ce=0.7075, gf=0.0000, loss=0.7075]
[Train]:   4%|▎         | 35/962 [00:08<03:24,  4.53it/s, ce=0.7075, gf=0.0000, loss=0.7075]
[Train]:   4%|▎         | 35/962 [00:08<03:24,  4.53it/s, ce=0.7078, gf=0.0000, loss=0.7078]
[Train]:   4%|▎         | 36/962 [00:08<03:27,  4.46it/s, ce=0.7078, gf=0.0000, loss=0.7078]
[Train]:   4%|▎         | 36/962 [00:08<03:27,  4.46it/s, ce=0.7060, gf=0.0000, loss=0.7060]
[Train]:   4%|▍         | 37/962 [00:08<03:22,  4.56it/s, ce=0.7060, gf=0.0000, loss=0.7060]
[Train]:   4%|▍         | 37/962 [00:08<03:22,  4.56it/s, ce=0.7051, gf=0.0000, loss=0.7051]
[Train]:   4%|▍         | 38/962 [00:08<03:26,  4.47it/s, ce=0.7051, gf=0.0000, loss=0.7051]
[Train]:   4%|▍         | 38/962 [00:09<03:26,  4.47it/s, ce=0.7060, gf=0.0000, loss=0.7060]
[Train]:   4%|▍         | 39/962 [00:09<03:22,  4.57it/s, ce=0.7060, gf=0.0000, loss=0.7060]
[Train]:   4%|▍         | 39/962 [00:09<03:22,  4.57it/s, ce=0.7061, gf=0.0000, loss=0.7061]
[Train]:   4%|▍         | 40/962 [00:09<03:25,  4.48it/s, ce=0.7061, gf=0.0000, loss=0.7061]
[Train]:   4%|▍         | 40/962 [00:09<03:25,  4.48it/s, ce=0.7069, gf=0.0000, loss=0.7069]
[Train]:   4%|▍         | 41/962 [00:09<03:20,  4.58it/s, ce=0.7069, gf=0.0000, loss=0.7069]
[Train]:   4%|▍         | 41/962 [00:09<03:20,  4.58it/s, ce=0.7067, gf=0.0000, loss=0.7067]
[Train]:   4%|▍         | 42/962 [00:09<03:26,  4.45it/s, ce=0.7067, gf=0.0000, loss=0.7067]
[Train]:   4%|▍         | 42/962 [00:10<03:26,  4.45it/s, ce=0.7079, gf=0.0000, loss=0.7079]
[Train]:   4%|▍         | 43/962 [00:10<03:23,  4.52it/s, ce=0.7079, gf=0.0000, loss=0.7079]
[Train]:   4%|▍         | 43/962 [00:10<03:23,  4.52it/s, ce=0.7088, gf=0.0000, loss=0.7088]
[Train]:   5%|▍         | 44/962 [00:10<03:27,  4.43it/s, ce=0.7088, gf=0.0000, loss=0.7088]
[Train]:   5%|▍         | 44/962 [00:10<03:27,  4.43it/s, ce=0.7097, gf=0.0000, loss=0.7097]
[Train]:   5%|▍         | 45/962 [00:10<03:21,  4.54it/s, ce=0.7097, gf=0.0000, loss=0.7097]
[Train]:   5%|▍         | 45/962 [00:10<03:21,  4.54it/s, ce=0.7099, gf=0.0000, loss=0.7099]
[Train]:   5%|▍         | 46/962 [00:10<03:25,  4.47it/s, ce=0.7099, gf=0.0000, loss=0.7099]
[Train]:   5%|▍         | 46/962 [00:10<03:25,  4.47it/s, ce=0.7097, gf=0.0000, loss=0.7097]
[Train]:   5%|▍         | 47/962 [00:10<03:24,  4.48it/s, ce=0.7097, gf=0.0000, loss=0.7097]
[Train]:   5%|▍         | 47/962 [00:11<03:24,  4.48it/s, ce=0.7096, gf=0.0000, loss=0.7096]
[Train]:   5%|▍         | 48/962 [00:11<03:27,  4.41it/s, ce=0.7096, gf=0.0000, loss=0.7096]
[Train]:   5%|▍         | 48/962 [00:11<03:27,  4.41it/s, ce=0.7099, gf=0.0000, loss=0.7099]
[Train]:   5%|▌         | 49/962 [00:11<03:21,  4.54it/s, ce=0.7099, gf=0.0000, loss=0.7099]
[Train]:   5%|▌         | 49/962 [00:11<03:21,  4.54it/s, ce=0.7098, gf=0.0000, loss=0.7098]
[Train]:   5%|▌         | 50/962 [00:11<03:23,  4.47it/s, ce=0.7098, gf=0.0000, loss=0.7098]
[Train]:   5%|▌         | 50/962 [00:11<03:23,  4.47it/s, ce=0.7088, gf=0.0000, loss=0.7088]
[Train]:   5%|▌         | 51/962 [00:11<03:19,  4.56it/s, ce=0.7088, gf=0.0000, loss=0.7088]
[Train]:   5%|▌         | 51/962 [00:12<03:19,  4.56it/s, ce=0.7094, gf=0.0000, loss=0.7094]
[Train]:   5%|▌         | 52/962 [00:12<03:23,  4.48it/s, ce=0.7094, gf=0.0000, loss=0.7094]
[Train]:   5%|▌         | 52/962 [00:12<03:23,  4.48it/s, ce=0.7097, gf=0.0000, loss=0.7097]
[Train]:   6%|▌         | 53/962 [00:12<03:18,  4.58it/s, ce=0.7097, gf=0.0000, loss=0.7097]
[Train]:   6%|▌         | 53/962 [00:12<03:18,  4.58it/s, ce=0.7099, gf=0.0000, loss=0.7099]
[Train]:   6%|▌         | 54/962 [00:12<03:22,  4.48it/s, ce=0.7099, gf=0.0000, loss=0.7099]
[Train]:   6%|▌         | 54/962 [00:12<03:22,  4.48it/s, ce=0.7108, gf=0.0000, loss=0.7108]
[Train]:   6%|▌         | 55/962 [00:12<03:19,  4.54it/s, ce=0.7108, gf=0.0000, loss=0.7108]
[Train]:   6%|▌         | 55/962 [00:12<03:19,  4.54it/s, ce=0.7105, gf=0.0000, loss=0.7105]
[Train]:   6%|▌         | 56/962 [00:12<03:25,  4.42it/s, ce=0.7105, gf=0.0000, loss=0.7105]
[Train]:   6%|▌         | 56/962 [00:13<03:25,  4.42it/s, ce=0.7107, gf=0.0000, loss=0.7107]
[Train]:   6%|▌         | 57/962 [00:13<03:19,  4.53it/s, ce=0.7107, gf=0.0000, loss=0.7107]
[Train]:   6%|▌         | 57/962 [00:13<03:19,  4.53it/s, ce=0.7099, gf=0.0000, loss=0.7099]
[Train]:   6%|▌         | 58/962 [00:13<03:23,  4.45it/s, ce=0.7099, gf=0.0000, loss=0.7099]
[Train]:   6%|▌         | 58/962 [00:13<03:23,  4.45it/s, ce=0.7091, gf=0.0000, loss=0.7091]
[Train]:   6%|▌         | 59/962 [00:13<03:18,  4.54it/s, ce=0.7091, gf=0.0000, loss=0.7091]
[Train]:   6%|▌         | 59/962 [00:13<03:18,  4.54it/s, ce=0.7081, gf=0.0000, loss=0.7081]
[Train]:   6%|▌         | 60/962 [00:13<03:25,  4.39it/s, ce=0.7081, gf=0.0000, loss=0.7081]
[Train]:   6%|▌         | 60/962 [00:14<03:25,  4.39it/s, ce=0.7078, gf=0.0000, loss=0.7078]
[Train]:   6%|▋         | 61/962 [00:14<03:19,  4.51it/s, ce=0.7078, gf=0.0000, loss=0.7078]
[Train]:   6%|▋         | 61/962 [00:14<03:19,  4.51it/s, ce=0.7078, gf=0.0000, loss=0.7078]
[Train]:   6%|▋         | 62/962 [00:14<03:22,  4.44it/s, ce=0.7078, gf=0.0000, loss=0.7078]
[Train]:   6%|▋         | 62/962 [00:14<03:22,  4.44it/s, ce=0.7084, gf=0.0000, loss=0.7084]
[Train]:   7%|▋         | 63/962 [00:14<03:18,  4.54it/s, ce=0.7084, gf=0.0000, loss=0.7084]
[Train]:   7%|▋         | 63/962 [00:14<03:18,  4.54it/s, ce=0.7080, gf=0.0000, loss=0.7080]
[Train]:   7%|▋         | 64/962 [00:14<03:22,  4.43it/s, ce=0.7080, gf=0.0000, loss=0.7080]
[Train]:   7%|▋         | 64/962 [00:14<03:22,  4.43it/s, ce=0.7080, gf=0.0000, loss=0.7080]
[Train]:   7%|▋         | 65/962 [00:14<03:18,  4.52it/s, ce=0.7080, gf=0.0000, loss=0.7080]
[Train]:   7%|▋         | 65/962 [00:15<03:18,  4.52it/s, ce=0.7076, gf=0.0000, loss=0.7076]
[Train]:   7%|▋         | 66/962 [00:15<03:20,  4.46it/s, ce=0.7076, gf=0.0000, loss=0.7076]
[Train]:   7%|▋         | 66/962 [00:15<03:20,  4.46it/s, ce=0.7071, gf=0.0000, loss=0.7071]
[Train]:   7%|▋         | 67/962 [00:15<03:15,  4.57it/s, ce=0.7071, gf=0.0000, loss=0.7071]
[Train]:   7%|▋         | 67/962 [00:15<03:15,  4.57it/s, ce=0.7068, gf=0.0000, loss=0.7068]
[Train]:   7%|▋         | 68/962 [00:15<03:19,  4.47it/s, ce=0.7068, gf=0.0000, loss=0.7068]
[Train]:   7%|▋         | 68/962 [00:15<03:19,  4.47it/s, ce=0.7069, gf=0.0000, loss=0.7069]
[Train]:   7%|▋         | 69/962 [00:15<03:17,  4.51it/s, ce=0.7069, gf=0.0000, loss=0.7069]
[Train]:   7%|▋         | 69/962 [00:16<03:17,  4.51it/s, ce=0.7067, gf=0.0000, loss=0.7067]
[Train]:   7%|▋         | 70/962 [00:16<03:21,  4.43it/s, ce=0.7067, gf=0.0000, loss=0.7067]
[Train]:   7%|▋         | 70/962 [00:16<03:21,  4.43it/s, ce=0.7064, gf=0.0000, loss=0.7064]
[Train]:   7%|▋         | 71/962 [00:16<03:15,  4.55it/s, ce=0.7064, gf=0.0000, loss=0.7064]
[Train]:   7%|▋         | 71/962 [00:16<03:15,  4.55it/s, ce=0.7065, gf=0.0000, loss=0.7065]
[Train]:   7%|▋         | 72/962 [00:16<03:19,  4.47it/s, ce=0.7065, gf=0.0000, loss=0.7065]
[Train]:   7%|▋         | 72/962 [00:16<03:19,  4.47it/s, ce=0.7065, gf=0.0000, loss=0.7065]
[Train]:   8%|▊         | 73/962 [00:16<03:15,  4.55it/s, ce=0.7065, gf=0.0000, loss=0.7065]
[Train]:   8%|▊         | 73/962 [00:16<03:15,  4.55it/s, ce=0.7067, gf=0.0000, loss=0.7067]
[Train]:   8%|▊         | 74/962 [00:16<03:19,  4.46it/s, ce=0.7067, gf=0.0000, loss=0.7067]
[Train]:   8%|▊         | 74/962 [00:17<03:19,  4.46it/s, ce=0.7068, gf=0.0000, loss=0.7068]
[Train]:   8%|▊         | 75/962 [00:17<03:14,  4.56it/s, ce=0.7068, gf=0.0000, loss=0.7068]
[Train]:   8%|▊         | 75/962 [00:17<03:14,  4.56it/s, ce=0.7059, gf=0.0000, loss=0.7059]
[Train]:   8%|▊         | 76/962 [00:17<03:18,  4.47it/s, ce=0.7059, gf=0.0000, loss=0.7059]
[Train]:   8%|▊         | 76/962 [00:17<03:18,  4.47it/s, ce=0.7049, gf=0.0000, loss=0.7049]
[Train]:   8%|▊         | 77/962 [00:17<03:15,  4.53it/s, ce=0.7049, gf=0.0000, loss=0.7049]
[Train]:   8%|▊         | 77/962 [00:17<03:15,  4.53it/s, ce=0.7048, gf=0.0000, loss=0.7048]
[Train]:   8%|▊         | 78/962 [00:17<03:20,  4.41it/s, ce=0.7048, gf=0.0000, loss=0.7048]
[Train]:   8%|▊         | 78/962 [00:18<03:20,  4.41it/s, ce=0.7044, gf=0.0000, loss=0.7044]
[Train]:   8%|▊         | 79/962 [00:18<03:15,  4.52it/s, ce=0.7044, gf=0.0000, loss=0.7044]
[Train]:   8%|▊         | 79/962 [00:18<03:15,  4.52it/s, ce=0.7037, gf=0.0000, loss=0.7037]
[Train]:   8%|▊         | 80/962 [00:18<03:18,  4.45it/s, ce=0.7037, gf=0.0000, loss=0.7037]
[Train]:   8%|▊         | 80/962 [00:18<03:18,  4.45it/s, ce=0.7043, gf=0.0000, loss=0.7043]
[Train]:   8%|▊         | 81/962 [00:18<03:14,  4.52it/s, ce=0.7043, gf=0.0000, loss=0.7043]
[Train]:   8%|▊         | 81/962 [00:18<03:14,  4.52it/s, ce=0.7044, gf=0.0000, loss=0.7044]
[Train]:   9%|▊         | 82/962 [00:18<03:19,  4.40it/s, ce=0.7044, gf=0.0000, loss=0.7044]
[Train]:   9%|▊         | 82/962 [00:18<03:19,  4.40it/s, ce=0.7047, gf=0.0000, loss=0.7047]
[Train]:   9%|▊         | 83/962 [00:18<03:14,  4.52it/s, ce=0.7047, gf=0.0000, loss=0.7047]
[Train]:   9%|▊         | 83/962 [00:19<03:14,  4.52it/s, ce=0.7052, gf=0.0000, loss=0.7052]
[Train]:   9%|▊         | 84/962 [00:19<03:17,  4.46it/s, ce=0.7052, gf=0.0000, loss=0.7052]
[Train]:   9%|▊         | 84/962 [00:19<03:17,  4.46it/s, ce=0.7050, gf=0.0000, loss=0.7050]
[Train]:   9%|▉         | 85/962 [00:19<03:12,  4.55it/s, ce=0.7050, gf=0.0000, loss=0.7050]
[Train]:   9%|▉         | 85/962 [00:19<03:12,  4.55it/s, ce=0.7053, gf=0.0000, loss=0.7053]
[Train]:   9%|▉         | 86/962 [00:19<03:19,  4.39it/s, ce=0.7053, gf=0.0000, loss=0.7053]
[Train]:   9%|▉         | 86/962 [00:19<03:19,  4.39it/s, ce=0.7048, gf=0.0000, loss=0.7048]
[Train]:   9%|▉         | 87/962 [00:19<03:14,  4.51it/s, ce=0.7048, gf=0.0000, loss=0.7048]
[Train]:   9%|▉         | 87/962 [00:20<03:14,  4.51it/s, ce=0.7049, gf=0.0000, loss=0.7049]
[Train]:   9%|▉         | 88/962 [00:20<03:16,  4.44it/s, ce=0.7049, gf=0.0000, loss=0.7049]
[Train]:   9%|▉         | 88/962 [00:20<03:16,  4.44it/s, ce=0.7044, gf=0.0000, loss=0.7044]
[Train]:   9%|▉         | 89/962 [00:20<03:12,  4.54it/s, ce=0.7044, gf=0.0000, loss=0.7044]
[Train]:   9%|▉         | 89/962 [00:20<03:12,  4.54it/s, ce=0.7044, gf=0.0000, loss=0.7044]
[Train]:   9%|▉         | 90/962 [00:20<03:16,  4.44it/s, ce=0.7044, gf=0.0000, loss=0.7044]
[Train]:   9%|▉         | 90/962 [00:20<03:16,  4.44it/s, ce=0.7046, gf=0.0000, loss=0.7046]
[Train]:   9%|▉         | 91/962 [00:20<03:11,  4.56it/s, ce=0.7046, gf=0.0000, loss=0.7046]
[Train]:   9%|▉         | 91/962 [00:20<03:11,  4.56it/s, ce=0.7047, gf=0.0000, loss=0.7047]
[Train]:  10%|▉         | 92/962 [00:20<03:14,  4.47it/s, ce=0.7047, gf=0.0000, loss=0.7047]
[Train]:  10%|▉         | 92/962 [00:21<03:14,  4.47it/s, ce=0.7048, gf=0.0000, loss=0.7048]
[Train]:  10%|▉         | 93/962 [00:21<03:10,  4.57it/s, ce=0.7048, gf=0.0000, loss=0.7048]
[Train]:  10%|▉         | 93/962 [00:21<03:10,  4.57it/s, ce=0.7042, gf=0.0000, loss=0.7042]
[Train]:  10%|▉         | 94/962 [00:21<03:14,  4.46it/s, ce=0.7042, gf=0.0000, loss=0.7042]
[Train]:  10%|▉         | 94/962 [00:21<03:14,  4.46it/s, ce=0.7039, gf=0.0000, loss=0.7039]
[Train]:  10%|▉         | 95/962 [00:21<03:10,  4.55it/s, ce=0.7039, gf=0.0000, loss=0.7039]
[Train]:  10%|▉         | 95/962 [00:21<03:10,  4.55it/s, ce=0.7035, gf=0.0000, loss=0.7035]
[Train]:  10%|▉         | 96/962 [00:21<03:13,  4.47it/s, ce=0.7035, gf=0.0000, loss=0.7035]
[Train]:  10%|▉         | 96/962 [00:22<03:13,  4.47it/s, ce=0.7035, gf=0.0000, loss=0.7035]
[Train]:  10%|█         | 97/962 [00:22<03:08,  4.58it/s, ce=0.7035, gf=0.0000, loss=0.7035]
[Train]:  10%|█         | 97/962 [00:22<03:08,  4.58it/s, ce=0.7038, gf=0.0000, loss=0.7038]
[Train]:  10%|█         | 98/962 [00:22<03:12,  4.48it/s, ce=0.7038, gf=0.0000, loss=0.7038]
[Train]:  10%|█         | 98/962 [00:22<03:12,  4.48it/s, ce=0.7037, gf=0.0000, loss=0.7037]
[Train]:  10%|█         | 99/962 [00:22<03:13,  4.46it/s, ce=0.7037, gf=0.0000, loss=0.7037]
[Train]:  10%|█         | 99/962 [00:22<03:13,  4.46it/s, ce=0.7045, gf=0.0000, loss=0.7045]
[Train]:  10%|█         | 100/962 [00:22<03:15,  4.40it/s, ce=0.7045, gf=0.0000, loss=0.7045]
[Train]:  10%|█         | 100/962 [00:22<03:15,  4.40it/s, ce=0.7040, gf=0.0000, loss=0.7040]
[Train]:  10%|█         | 101/962 [00:22<03:10,  4.52it/s, ce=0.7040, gf=0.0000, loss=0.7040]
[Train]:  10%|█         | 101/962 [00:23<03:10,  4.52it/s, ce=0.7043, gf=0.0000, loss=0.7043]
[Train]:  11%|█         | 102/962 [00:23<03:13,  4.45it/s, ce=0.7043, gf=0.0000, loss=0.7043]
[Train]:  11%|█         | 102/962 [00:23<03:13,  4.45it/s, ce=0.7039, gf=0.0000, loss=0.7039]
[Train]:  11%|█         | 103/962 [00:23<03:09,  4.53it/s, ce=0.7039, gf=0.0000, loss=0.7039]
[Train]:  11%|█         | 103/962 [00:23<03:09,  4.53it/s, ce=0.7043, gf=0.0000, loss=0.7043]
[Train]:  11%|█         | 104/962 [00:23<03:13,  4.42it/s, ce=0.7043, gf=0.0000, loss=0.7043]
[Train]:  11%|█         | 104/962 [00:23<03:13,  4.42it/s, ce=0.7044, gf=0.0000, loss=0.7044]
