
>>> [1/63] EAR | toxigen | seed=123
>>> Command: python3 src_script/train/train_baseline_ear.py --dataset toxigen --seed 123 --lambda_ear 0.1 --epochs 6 --patience 3 --batch_size 16 --grad_accum 2 --lr 2e-5 --max_len 128
>>> Start: Sun Mar 15 04:32:40 CST 2026
/root/miniconda/lib/python3.8/site-packages/torchvision/datapoints/__init__.py:12: UserWarning: The torchvision.datapoints and torchvision.transforms.v2 namespaces are still Beta. While we do not expect major breaking changes, some APIs may still change according to user feedback. Please submit any feedback you may have in this issue: https://github.com/pytorch/vision/issues/6753, and you can also check out https://github.com/pytorch/vision/issues/7319 to learn more about the APIs that we suspect might involve future changes. You can silence this warning by calling torchvision.disable_beta_transforms_warning().
  warnings.warn(_BETA_TRANSFORMS_WARNING)
/root/miniconda/lib/python3.8/site-packages/torchvision/transforms/v2/__init__.py:54: UserWarning: The torchvision.datapoints and torchvision.transforms.v2 namespaces are still Beta. While we do not expect major breaking changes, some APIs may still change according to user feedback. Please submit any feedback you may have in this issue: https://github.com/pytorch/vision/issues/6753, and you can also check out https://github.com/pytorch/vision/issues/7319 to learn more about the APIs that we suspect might involve future changes. You can silence this warning by calling torchvision.disable_beta_transforms_warning().
  warnings.warn(_BETA_TRANSFORMS_WARNING)
[Hardware] TF32 acceleration enabled for Ampere+ GPUs.
[Experiment] EAR_toxigen_seed123_0315_0432
[Data] Train: 7168 | Val: 896 | Test: 896
[Model] EAR | lambda_ear=0.1

Epoch 1/6

[Train]:   0%|          | 0/448 [00:00<?, ?it/s]
[Train]:   8%|▊         | 34/448 [00:04<00:44,  9.35it/s, ce=0.7046, ear=-1.9245, loss=0.5122]
[Train]:   8%|▊         | 34/448 [00:04<00:44,  9.35it/s, ce=0.7037, ear=-1.9238, loss=0.5113]
[Train]:   8%|▊         | 36/448 [00:04<00:43,  9.41it/s, ce=0.7037, ear=-1.9238, loss=0.5113]
[Train]:   8%|▊         | 36/448 [00:04<00:43,  9.41it/s, ce=0.7021, ear=-1.9272, loss=0.5094]
[Train]:   8%|▊         | 36/448 [00:05<00:43,  9.41it/s, ce=0.7022, ear=-1.9301, loss=0.5092]
[Train]:   8%|▊         | 38/448 [00:05<00:43,  9.51it/s, ce=0.7022, ear=-1.9301, loss=0.5092]
[Train]:   8%|▊         | 38/448 [00:05<00:43,  9.51it/s, ce=0.7022, ear=-1.9268, loss=0.5095]
[Train]:   8%|▊         | 38/448 [00:05<00:43,  9.51it/s, ce=0.7020, ear=-1.9278, loss=0.5092]
[Train]:   9%|▉         | 40/448 [00:05<00:43,  9.40it/s, ce=0.7020, ear=-1.9278, loss=0.5092]
[Train]:   9%|▉         | 40/448 [00:05<00:43,  9.40it/s, ce=0.7008, ear=-1.9304, loss=0.5078]
[Train]:   9%|▉         | 40/448 [00:05<00:43,  9.40it/s, ce=0.7002, ear=-1.9282, loss=0.5074]
[Train]:   9%|▉         | 42/448 [00:05<00:43,  9.31it/s, ce=0.7002, ear=-1.9282, loss=0.5074]
[Train]:   9%|▉         | 42/448 [00:05<00:43,  9.31it/s, ce=0.7010, ear=-1.9305, loss=0.5079]
[Train]:   9%|▉         | 42/448 [00:05<00:43,  9.31it/s, ce=0.7011, ear=-1.9341, loss=0.5077]
[Train]:  10%|▉         | 44/448 [00:05<00:42,  9.43it/s, ce=0.7011, ear=-1.9341, loss=0.5077]
[Train]:  10%|▉         | 44/448 [00:05<00:42,  9.43it/s, ce=0.7027, ear=-1.9384, loss=0.5089]
[Train]:  10%|▉         | 44/448 [00:05<00:42,  9.43it/s, ce=0.7045, ear=-1.9386, loss=0.5106]
[Train]:  10%|█         | 46/448 [00:05<00:41,  9.65it/s, ce=0.7045, ear=-1.9386, loss=0.5106]
[Train]:  10%|█         | 46/448 [00:05<00:41,  9.65it/s, ce=0.7047, ear=-1.9399, loss=0.5107]
[Train]:  10%|█         | 46/448 [00:06<00:41,  9.65it/s, ce=0.7054, ear=-1.9402, loss=0.5113]
[Train]:  11%|█         | 48/448 [00:06<00:41,  9.62it/s, ce=0.7054, ear=-1.9402, loss=0.5113]
[Train]:  11%|█         | 48/448 [00:06<00:41,  9.62it/s, ce=0.7043, ear=-1.9427, loss=0.5101]
[Train]:  11%|█         | 48/448 [00:06<00:41,  9.62it/s, ce=0.7033, ear=-1.9437, loss=0.5089]
[Train]:  11%|█         | 50/448 [00:06<00:42,  9.46it/s, ce=0.7033, ear=-1.9437, loss=0.5089]
[Train]:  11%|█         | 50/448 [00:06<00:42,  9.46it/s, ce=0.7028, ear=-1.9464, loss=0.5082]
[Train]:  11%|█         | 50/448 [00:06<00:42,  9.46it/s, ce=0.7016, ear=-1.9511, loss=0.5064]
[Train]:  12%|█▏        | 52/448 [00:06<00:41,  9.52it/s, ce=0.7016, ear=-1.9511, loss=0.5064]
[Train]:  12%|█▏        | 52/448 [00:06<00:41,  9.52it/s, ce=0.7026, ear=-1.9533, loss=0.5073]
[Train]:  12%|█▏        | 52/448 [00:06<00:41,  9.52it/s, ce=0.7022, ear=-1.9536, loss=0.5069]
[Train]:  12%|█▏        | 54/448 [00:06<00:41,  9.60it/s, ce=0.7022, ear=-1.9536, loss=0.5069]
[Train]:  12%|█▏        | 54/448 [00:06<00:41,  9.60it/s, ce=0.7016, ear=-1.9570, loss=0.5059]
[Train]:  12%|█▏        | 54/448 [00:06<00:41,  9.60it/s, ce=0.7021, ear=-1.9576, loss=0.5063]
[Train]:  12%|█▎        | 56/448 [00:06<00:41,  9.54it/s, ce=0.7021, ear=-1.9576, loss=0.5063]
[Train]:  12%|█▎        | 56/448 [00:07<00:41,  9.54it/s, ce=0.7015, ear=-1.9626, loss=0.5053]
[Train]:  12%|█▎        | 56/448 [00:07<00:41,  9.54it/s, ce=0.7010, ear=-1.9658, loss=0.5044]
[Train]:  13%|█▎        | 58/448 [00:07<00:41,  9.30it/s, ce=0.7010, ear=-1.9658, loss=0.5044]
[Train]:  13%|█▎        | 58/448 [00:07<00:41,  9.30it/s, ce=0.7006, ear=-1.9674, loss=0.5039]
[Train]:  13%|█▎        | 58/448 [00:07<00:41,  9.30it/s, ce=0.7005, ear=-1.9706, loss=0.5034]
[Train]:  13%|█▎        | 60/448 [00:07<00:41,  9.42it/s, ce=0.7005, ear=-1.9706, loss=0.5034]
[Train]:  13%|█▎        | 60/448 [00:07<00:41,  9.42it/s, ce=0.6999, ear=-1.9721, loss=0.5027]
[Train]:  13%|█▎        | 60/448 [00:07<00:41,  9.42it/s, ce=0.6995, ear=-1.9747, loss=0.5021]
[Train]:  14%|█▍        | 62/448 [00:07<00:40,  9.53it/s, ce=0.6995, ear=-1.9747, loss=0.5021]
[Train]:  14%|█▍        | 62/448 [00:07<00:40,  9.53it/s, ce=0.6988, ear=-1.9785, loss=0.5010]
[Train]:  14%|█▍        | 62/448 [00:07<00:40,  9.53it/s, ce=0.6986, ear=-1.9787, loss=0.5007]
[Train]:  14%|█▍        | 64/448 [00:07<00:40,  9.48it/s, ce=0.6986, ear=-1.9787, loss=0.5007]
[Train]:  14%|█▍        | 64/448 [00:07<00:40,  9.48it/s, ce=0.6986, ear=-1.9822, loss=0.5004]
[Train]:  14%|█▍        | 64/448 [00:08<00:40,  9.48it/s, ce=0.6994, ear=-1.9838, loss=0.5010]
[Train]:  15%|█▍        | 66/448 [00:08<00:40,  9.55it/s, ce=0.6994, ear=-1.9838, loss=0.5010]
[Train]:  15%|█▍        | 66/448 [00:08<00:40,  9.55it/s, ce=0.6997, ear=-1.9874, loss=0.5009]
[Train]:  15%|█▍        | 67/448 [00:08<00:39,  9.58it/s, ce=0.6997, ear=-1.9874, loss=0.5009]
[Train]:  15%|█▍        | 67/448 [00:08<00:39,  9.58it/s, ce=0.6996, ear=-1.9883, loss=0.5008]
[Train]:  15%|█▌        | 68/448 [00:08<00:40,  9.29it/s, ce=0.6996, ear=-1.9883, loss=0.5008]
[Train]:  15%|█▌        | 68/448 [00:08<00:40,  9.29it/s, ce=0.6990, ear=-1.9913, loss=0.4999]
[Train]:  15%|█▌        | 68/448 [00:08<00:40,  9.29it/s, ce=0.6988, ear=-1.9938, loss=0.4994]
[Train]:  16%|█▌        | 70/448 [00:08<00:40,  9.45it/s, ce=0.6988, ear=-1.9938, loss=0.4994]
[Train]:  16%|█▌        | 70/448 [00:08<00:40,  9.45it/s, ce=0.6994, ear=-1.9968, loss=0.4997]
[Train]:  16%|█▌        | 70/448 [00:08<00:40,  9.45it/s, ce=0.6988, ear=-1.9978, loss=0.4990]
[Train]:  16%|█▌        | 72/448 [00:08<00:39,  9.55it/s, ce=0.6988, ear=-1.9978, loss=0.4990]
[Train]:  16%|█▌        | 72/448 [00:08<00:39,  9.55it/s, ce=0.6991, ear=-2.0002, loss=0.4991]
[Train]:  16%|█▌        | 72/448 [00:08<00:39,  9.55it/s, ce=0.6997, ear=-2.0038, loss=0.4993]
[Train]:  17%|█▋        | 74/448 [00:08<00:39,  9.57it/s, ce=0.6997, ear=-2.0038, loss=0.4993]
[Train]:  17%|█▋        | 74/448 [00:08<00:39,  9.57it/s, ce=0.6996, ear=-2.0051, loss=0.4991]
[Train]:  17%|█▋        | 74/448 [00:09<00:39,  9.57it/s, ce=0.6986, ear=-2.0070, loss=0.4979]
[Train]:  17%|█▋        | 76/448 [00:09<00:39,  9.41it/s, ce=0.6986, ear=-2.0070, loss=0.4979]
[Train]:  17%|█▋        | 76/448 [00:09<00:39,  9.41it/s, ce=0.6986, ear=-2.0100, loss=0.4976]
[Train]:  17%|█▋        | 76/448 [00:09<00:39,  9.41it/s, ce=0.6981, ear=-2.0142, loss=0.4967]
[Train]:  17%|█▋        | 78/448 [00:09<00:38,  9.73it/s, ce=0.6981, ear=-2.0142, loss=0.4967]
[Train]:  17%|█▋        | 78/448 [00:09<00:38,  9.73it/s, ce=0.6978, ear=-2.0179, loss=0.4960]
[Train]:  17%|█▋        | 78/448 [00:09<00:38,  9.73it/s, ce=0.6982, ear=-2.0199, loss=0.4962]
[Train]:  18%|█▊        | 80/448 [00:09<00:36, 10.01it/s, ce=0.6982, ear=-2.0199, loss=0.4962]
[Train]:  18%|█▊        | 80/448 [00:09<00:36, 10.01it/s, ce=0.6991, ear=-2.0243, loss=0.4966]
[Train]:  18%|█▊        | 80/448 [00:09<00:36, 10.01it/s, ce=0.6994, ear=-2.0277, loss=0.4967]
[Train]:  18%|█▊        | 82/448 [00:09<00:35, 10.22it/s, ce=0.6994, ear=-2.0277, loss=0.4967]
[Train]:  18%|█▊        | 82/448 [00:09<00:35, 10.22it/s, ce=0.6993, ear=-2.0301, loss=0.4963]
[Train]:  18%|█▊        | 82/448 [00:09<00:35, 10.22it/s, ce=0.6988, ear=-2.0312, loss=0.4957]
[Train]:  19%|█▉        | 84/448 [00:09<00:35, 10.38it/s, ce=0.6988, ear=-2.0312, loss=0.4957]
[Train]:  19%|█▉        | 84/448 [00:09<00:35, 10.38it/s, ce=0.6993, ear=-2.0353, loss=0.4958]
[Train]:  19%|█▉        | 84/448 [00:10<00:35, 10.38it/s, ce=0.6989, ear=-2.0391, loss=0.4949]
[Train]:  19%|█▉        | 86/448 [00:10<00:35, 10.19it/s, ce=0.6989, ear=-2.0391, loss=0.4949]
[Train]:  19%|█▉        | 86/448 [00:10<00:35, 10.19it/s, ce=0.6984, ear=-2.0417, loss=0.4943]
[Train]:  19%|█▉        | 86/448 [00:10<00:35, 10.19it/s, ce=0.6983, ear=-2.0440, loss=0.4939]
[Train]:  20%|█▉        | 88/448 [00:10<00:34, 10.36it/s, ce=0.6983, ear=-2.0440, loss=0.4939]
[Train]:  20%|█▉        | 88/448 [00:10<00:34, 10.36it/s, ce=0.6984, ear=-2.0476, loss=0.4936]
[Train]:  20%|█▉        | 88/448 [00:10<00:34, 10.36it/s, ce=0.6985, ear=-2.0514, loss=0.4933]
[Train]:  20%|██        | 90/448 [00:10<00:34, 10.41it/s, ce=0.6985, ear=-2.0514, loss=0.4933]
[Train]:  20%|██        | 90/448 [00:10<00:34, 10.41it/s, ce=0.6980, ear=-2.0552, loss=0.4924]
[Train]:  20%|██        | 90/448 [00:10<00:34, 10.41it/s, ce=0.6977, ear=-2.0600, loss=0.4918]
[Train]:  21%|██        | 92/448 [00:10<00:33, 10.48it/s, ce=0.6977, ear=-2.0600, loss=0.4918]
[Train]:  21%|██        | 92/448 [00:10<00:33, 10.48it/s, ce=0.6979, ear=-2.0619, loss=0.4917]
[Train]:  21%|██        | 92/448 [00:10<00:33, 10.48it/s, ce=0.6979, ear=-2.0653, loss=0.4914]
[Train]:  21%|██        | 94/448 [00:10<00:33, 10.58it/s, ce=0.6979, ear=-2.0653, loss=0.4914]
[Train]:  21%|██        | 94/448 [00:10<00:33, 10.58it/s, ce=0.6978, ear=-2.0671, loss=0.4910]
[Train]:  21%|██        | 94/448 [00:10<00:33, 10.58it/s, ce=0.6979, ear=-2.0711, loss=0.4908]
[Train]:  21%|██▏       | 96/448 [00:10<00:33, 10.51it/s, ce=0.6979, ear=-2.0711, loss=0.4908]
[Train]:  21%|██▏       | 96/448 [00:11<00:33, 10.51it/s, ce=0.6979, ear=-2.0732, loss=0.4906]
[Train]:  21%|██▏       | 96/448 [00:11<00:33, 10.51it/s, ce=0.6979, ear=-2.0758, loss=0.4903]
[Train]:  22%|██▏       | 98/448 [00:11<00:32, 10.63it/s, ce=0.6979, ear=-2.0758, loss=0.4903]
[Train]:  22%|██▏       | 98/448 [00:11<00:32, 10.63it/s, ce=0.6979, ear=-2.0790, loss=0.4900]
[Train]:  22%|██▏       | 98/448 [00:11<00:32, 10.63it/s, ce=0.6978, ear=-2.0825, loss=0.4896]
[Train]:  22%|██▏       | 100/448 [00:11<00:32, 10.71it/s, ce=0.6978, ear=-2.0825, loss=0.4896]
[Train]:  22%|██▏       | 100/448 [00:11<00:32, 10.71it/s, ce=0.6974, ear=-2.0848, loss=0.4889]
[Train]:  22%|██▏       | 100/448 [00:11<00:32, 10.71it/s, ce=0.6975, ear=-2.0884, loss=0.4886]
[Train]:  23%|██▎       | 102/448 [00:11<00:32, 10.75it/s, ce=0.6975, ear=-2.0884, loss=0.4886]
[Train]:  23%|██▎       | 102/448 [00:11<00:32, 10.75it/s, ce=0.6971, ear=-2.0934, loss=0.4878]
[Train]:  23%|██▎       | 102/448 [00:11<00:32, 10.75it/s, ce=0.6966, ear=-2.0966, loss=0.4870]
[Train]:  23%|██▎       | 104/448 [00:11<00:32, 10.74it/s, ce=0.6966, ear=-2.0966, loss=0.4870]
[Train]:  23%|██▎       | 104/448 [00:11<00:32, 10.74it/s, ce=0.6969, ear=-2.1004, loss=0.4868]
[Train]:  23%|██▎       | 104/448 [00:11<00:32, 10.74it/s, ce=0.6971, ear=-2.1037, loss=0.4867]
[Train]:  24%|██▎       | 106/448 [00:11<00:31, 10.71it/s, ce=0.6971, ear=-2.1037, loss=0.4867]
[Train]:  24%|██▎       | 106/448 [00:11<00:31, 10.71it/s, ce=0.6966, ear=-2.1059, loss=0.4860]
[Train]:  24%|██▎       | 106/448 [00:12<00:31, 10.71it/s, ce=0.6967, ear=-2.1085, loss=0.4858]
[Train]:  24%|██▍       | 108/448 [00:12<00:32, 10.51it/s, ce=0.6967, ear=-2.1085, loss=0.4858]
[Train]:  24%|██▍       | 108/448 [00:12<00:32, 10.51it/s, ce=0.6969, ear=-2.1129, loss=0.4856]
[Train]:  24%|██▍       | 108/448 [00:12<00:32, 10.51it/s, ce=0.6967, ear=-2.1161, loss=0.4851]
[Train]:  25%|██▍       | 110/448 [00:12<00:32, 10.49it/s, ce=0.6967, ear=-2.1161, loss=0.4851]
[Train]:  25%|██▍       | 110/448 [00:12<00:32, 10.49it/s, ce=0.6956, ear=-2.1192, loss=0.4837]
[Train]:  25%|██▍       | 110/448 [00:12<00:32, 10.49it/s, ce=0.6950, ear=-2.1221, loss=0.4828]
[Train]:  25%|██▌       | 112/448 [00:12<00:31, 10.60it/s, ce=0.6950, ear=-2.1221, loss=0.4828]
[Train]:  25%|██▌       | 112/448 [00:12<00:31, 10.60it/s, ce=0.6950, ear=-2.1276, loss=0.4822]
[Train]:  25%|██▌       | 112/448 [00:12<00:31, 10.60it/s, ce=0.6946, ear=-2.1314, loss=0.4815]
[Train]:  25%|██▌       | 114/448 [00:12<00:31, 10.47it/s, ce=0.6946, ear=-2.1314, loss=0.4815]
[Train]:  25%|██▌       | 114/448 [00:12<00:31, 10.47it/s, ce=0.6943, ear=-2.1341, loss=0.4808]
[Train]:  25%|██▌       | 114/448 [00:12<00:31, 10.47it/s, ce=0.6936, ear=-2.1384, loss=0.4798]
[Train]:  26%|██▌       | 116/448 [00:12<00:32, 10.35it/s, ce=0.6936, ear=-2.1384, loss=0.4798]
[Train]:  26%|██▌       | 116/448 [00:12<00:32, 10.35it/s, ce=0.6939, ear=-2.1424, loss=0.4796]
[Train]:  26%|██▌       | 116/448 [00:13<00:32, 10.35it/s, ce=0.6938, ear=-2.1470, loss=0.4791]
[Train]:  26%|██▋       | 118/448 [00:13<00:32, 10.14it/s, ce=0.6938, ear=-2.1470, loss=0.4791]
[Train]:  26%|██▋       | 118/448 [00:13<00:32, 10.14it/s, ce=0.6939, ear=-2.1490, loss=0.4790]
[Train]:  26%|██▋       | 118/448 [00:13<00:32, 10.14it/s, ce=0.6939, ear=-2.1524, loss=0.4786]
[Train]:  27%|██▋       | 120/448 [00:13<00:32, 10.25it/s, ce=0.6939, ear=-2.1524, loss=0.4786]
[Train]:  27%|██▋       | 120/448 [00:13<00:32, 10.25it/s, ce=0.6941, ear=-2.1554, loss=0.4786]
[Train]:  27%|██▋       | 120/448 [00:13<00:32, 10.25it/s, ce=0.6940, ear=-2.1596, loss=0.4781]
[Train]:  27%|██▋       | 122/448 [00:13<00:31, 10.43it/s, ce=0.6940, ear=-2.1596, loss=0.4781]
[Train]:  27%|██▋       | 122/448 [00:13<00:31, 10.43it/s, ce=0.6940, ear=-2.1639, loss=0.4776]
[Train]:  27%|██▋       | 122/448 [00:13<00:31, 10.43it/s, ce=0.6933, ear=-2.1675, loss=0.4765]
[Train]:  28%|██▊       | 124/448 [00:13<00:31, 10.45it/s, ce=0.6933, ear=-2.1675, loss=0.4765]
[Train]:  28%|██▊       | 124/448 [00:13<00:31, 10.45it/s, ce=0.6930, ear=-2.1715, loss=0.4758]
[Train]:  28%|██▊       | 124/448 [00:13<00:31, 10.45it/s, ce=0.6933, ear=-2.1750, loss=0.4758]
[Train]:  28%|██▊       | 126/448 [00:13<00:30, 10.39it/s, ce=0.6933, ear=-2.1750, loss=0.4758]
[Train]:  28%|██▊       | 126/448 [00:13<00:30, 10.39it/s, ce=0.6928, ear=-2.1791, loss=0.4749]
[Train]:  28%|██▊       | 126/448 [00:14<00:30, 10.39it/s, ce=0.6926, ear=-2.1820, loss=0.4744]
[Train]:  29%|██▊       | 128/448 [00:14<00:31, 10.13it/s, ce=0.6926, ear=-2.1820, loss=0.4744]
[Train]:  29%|██▊       | 128/448 [00:14<00:31, 10.13it/s, ce=0.6925, ear=-2.1859, loss=0.4739]
[Train]:  29%|██▊       | 128/448 [00:14<00:31, 10.13it/s, ce=0.6925, ear=-2.1894, loss=0.4736]
[Train]:  29%|██▉       | 130/448 [00:14<00:30, 10.30it/s, ce=0.6925, ear=-2.1894, loss=0.4736]
