
>>> [1/63] EAR | hatexplain | seed=42
>>> Command: python3 src_script/train/train_baseline_ear.py --dataset hatexplain --seed 42 --lambda_ear 0.1 --epochs 6 --patience 3 --batch_size 16 --grad_accum 2 --lr 2e-5 --max_len 128
>>> Start: Sun Mar 15 00:45:51 CST 2026
/root/miniconda/lib/python3.8/site-packages/torchvision/datapoints/__init__.py:12: UserWarning: The torchvision.datapoints and torchvision.transforms.v2 namespaces are still Beta. While we do not expect major breaking changes, some APIs may still change according to user feedback. Please submit any feedback you may have in this issue: https://github.com/pytorch/vision/issues/6753, and you can also check out https://github.com/pytorch/vision/issues/7319 to learn more about the APIs that we suspect might involve future changes. You can silence this warning by calling torchvision.disable_beta_transforms_warning().
  warnings.warn(_BETA_TRANSFORMS_WARNING)
/root/miniconda/lib/python3.8/site-packages/torchvision/transforms/v2/__init__.py:54: UserWarning: The torchvision.datapoints and torchvision.transforms.v2 namespaces are still Beta. While we do not expect major breaking changes, some APIs may still change according to user feedback. Please submit any feedback you may have in this issue: https://github.com/pytorch/vision/issues/6753, and you can also check out https://github.com/pytorch/vision/issues/7319 to learn more about the APIs that we suspect might involve future changes. You can silence this warning by calling torchvision.disable_beta_transforms_warning().
  warnings.warn(_BETA_TRANSFORMS_WARNING)
[Hardware] TF32 acceleration enabled for Ampere+ GPUs.
[Experiment] EAR_hatexplain_seed42_0315_0045
[Data] Train: 15383 | Val: 1922 | Test: 1924
[Model] EAR | lambda_ear=0.1

Epoch 1/6

[Train]:   0%|          | 0/962 [00:00<?, ?it/s]
[Train]:   4%|▍         | 38/962 [00:04<01:27, 10.53it/s, ce=0.7361, ear=-1.9927, loss=0.5369]
[Train]:   4%|▍         | 38/962 [00:04<01:27, 10.53it/s, ce=0.7367, ear=-1.9927, loss=0.5374]
[Train]:   4%|▍         | 40/962 [00:04<01:27, 10.51it/s, ce=0.7367, ear=-1.9927, loss=0.5374]
[Train]:   4%|▍         | 40/962 [00:04<01:27, 10.51it/s, ce=0.7402, ear=-1.9942, loss=0.5407]
[Train]:   4%|▍         | 40/962 [00:04<01:27, 10.51it/s, ce=0.7397, ear=-1.9948, loss=0.5402]
[Train]:   4%|▍         | 42/962 [00:04<01:28, 10.41it/s, ce=0.7397, ear=-1.9948, loss=0.5402]
[Train]:   4%|▍         | 42/962 [00:04<01:28, 10.41it/s, ce=0.7397, ear=-1.9954, loss=0.5402]
[Train]:   4%|▍         | 42/962 [00:04<01:28, 10.41it/s, ce=0.7403, ear=-1.9967, loss=0.5406]
[Train]:   5%|▍         | 44/962 [00:04<01:28, 10.40it/s, ce=0.7403, ear=-1.9967, loss=0.5406]
[Train]:   5%|▍         | 44/962 [00:05<01:28, 10.40it/s, ce=0.7412, ear=-1.9943, loss=0.5418]
[Train]:   5%|▍         | 44/962 [00:05<01:28, 10.40it/s, ce=0.7391, ear=-1.9949, loss=0.5396]
[Train]:   5%|▍         | 46/962 [00:05<01:27, 10.51it/s, ce=0.7391, ear=-1.9949, loss=0.5396]
[Train]:   5%|▍         | 46/962 [00:05<01:27, 10.51it/s, ce=0.7369, ear=-1.9928, loss=0.5377]
[Train]:   5%|▍         | 46/962 [00:05<01:27, 10.51it/s, ce=0.7360, ear=-1.9916, loss=0.5368]
[Train]:   5%|▍         | 48/962 [00:05<01:25, 10.64it/s, ce=0.7360, ear=-1.9916, loss=0.5368]
[Train]:   5%|▍         | 48/962 [00:05<01:25, 10.64it/s, ce=0.7368, ear=-1.9917, loss=0.5376]
[Train]:   5%|▍         | 48/962 [00:05<01:25, 10.64it/s, ce=0.7362, ear=-1.9938, loss=0.5368]
[Train]:   5%|▌         | 50/962 [00:05<01:25, 10.68it/s, ce=0.7362, ear=-1.9938, loss=0.5368]
[Train]:   5%|▌         | 50/962 [00:05<01:25, 10.68it/s, ce=0.7350, ear=-1.9962, loss=0.5354]
[Train]:   5%|▌         | 50/962 [00:05<01:25, 10.68it/s, ce=0.7345, ear=-1.9979, loss=0.5347]
[Train]:   5%|▌         | 52/962 [00:05<01:27, 10.44it/s, ce=0.7345, ear=-1.9979, loss=0.5347]
[Train]:   5%|▌         | 52/962 [00:05<01:27, 10.44it/s, ce=0.7352, ear=-1.9997, loss=0.5353]
[Train]:   5%|▌         | 52/962 [00:05<01:27, 10.44it/s, ce=0.7325, ear=-2.0019, loss=0.5323]
[Train]:   6%|▌         | 54/962 [00:05<01:26, 10.47it/s, ce=0.7325, ear=-2.0019, loss=0.5323]
[Train]:   6%|▌         | 54/962 [00:06<01:26, 10.47it/s, ce=0.7341, ear=-2.0053, loss=0.5336]
[Train]:   6%|▌         | 54/962 [00:06<01:26, 10.47it/s, ce=0.7328, ear=-2.0044, loss=0.5323]
[Train]:   6%|▌         | 56/962 [00:06<01:28, 10.29it/s, ce=0.7328, ear=-2.0044, loss=0.5323]
[Train]:   6%|▌         | 56/962 [00:06<01:28, 10.29it/s, ce=0.7310, ear=-2.0070, loss=0.5303]
[Train]:   6%|▌         | 56/962 [00:06<01:28, 10.29it/s, ce=0.7306, ear=-2.0085, loss=0.5298]
[Train]:   6%|▌         | 58/962 [00:06<01:26, 10.45it/s, ce=0.7306, ear=-2.0085, loss=0.5298]
[Train]:   6%|▌         | 58/962 [00:06<01:26, 10.45it/s, ce=0.7315, ear=-2.0120, loss=0.5303]
[Train]:   6%|▌         | 58/962 [00:06<01:26, 10.45it/s, ce=0.7308, ear=-2.0132, loss=0.5295]
[Train]:   6%|▌         | 60/962 [00:06<01:25, 10.55it/s, ce=0.7308, ear=-2.0132, loss=0.5295]
[Train]:   6%|▌         | 60/962 [00:06<01:25, 10.55it/s, ce=0.7308, ear=-2.0163, loss=0.5292]
[Train]:   6%|▌         | 60/962 [00:06<01:25, 10.55it/s, ce=0.7308, ear=-2.0178, loss=0.5291]
[Train]:   6%|▋         | 62/962 [00:06<01:25, 10.47it/s, ce=0.7308, ear=-2.0178, loss=0.5291]
[Train]:   6%|▋         | 62/962 [00:06<01:25, 10.47it/s, ce=0.7303, ear=-2.0216, loss=0.5282]
[Train]:   6%|▋         | 62/962 [00:06<01:25, 10.47it/s, ce=0.7297, ear=-2.0225, loss=0.5275]
[Train]:   7%|▋         | 64/962 [00:06<01:26, 10.39it/s, ce=0.7297, ear=-2.0225, loss=0.5275]
[Train]:   7%|▋         | 64/962 [00:06<01:26, 10.39it/s, ce=0.7304, ear=-2.0267, loss=0.5277]
[Train]:   7%|▋         | 64/962 [00:07<01:26, 10.39it/s, ce=0.7288, ear=-2.0251, loss=0.5263]
[Train]:   7%|▋         | 66/962 [00:07<01:25, 10.47it/s, ce=0.7288, ear=-2.0251, loss=0.5263]
[Train]:   7%|▋         | 66/962 [00:07<01:25, 10.47it/s, ce=0.7287, ear=-2.0250, loss=0.5262]
[Train]:   7%|▋         | 66/962 [00:07<01:25, 10.47it/s, ce=0.7292, ear=-2.0295, loss=0.5262]
[Train]:   7%|▋         | 68/962 [00:07<01:25, 10.43it/s, ce=0.7292, ear=-2.0295, loss=0.5262]
[Train]:   7%|▋         | 68/962 [00:07<01:25, 10.43it/s, ce=0.7285, ear=-2.0332, loss=0.5252]
[Train]:   7%|▋         | 68/962 [00:07<01:25, 10.43it/s, ce=0.7290, ear=-2.0356, loss=0.5254]
[Train]:   7%|▋         | 70/962 [00:07<01:26, 10.32it/s, ce=0.7290, ear=-2.0356, loss=0.5254]
[Train]:   7%|▋         | 70/962 [00:07<01:26, 10.32it/s, ce=0.7289, ear=-2.0374, loss=0.5251]
[Train]:   7%|▋         | 70/962 [00:07<01:26, 10.32it/s, ce=0.7277, ear=-2.0386, loss=0.5239]
[Train]:   7%|▋         | 72/962 [00:07<01:25, 10.45it/s, ce=0.7277, ear=-2.0386, loss=0.5239]
[Train]:   7%|▋         | 72/962 [00:07<01:25, 10.45it/s, ce=0.7270, ear=-2.0409, loss=0.5229]
[Train]:   7%|▋         | 72/962 [00:07<01:25, 10.45it/s, ce=0.7257, ear=-2.0437, loss=0.5214]
[Train]:   8%|▊         | 74/962 [00:07<01:25, 10.40it/s, ce=0.7257, ear=-2.0437, loss=0.5214]
[Train]:   8%|▊         | 74/962 [00:07<01:25, 10.40it/s, ce=0.7258, ear=-2.0430, loss=0.5215]
[Train]:   8%|▊         | 74/962 [00:08<01:25, 10.40it/s, ce=0.7256, ear=-2.0450, loss=0.5212]
[Train]:   8%|▊         | 76/962 [00:08<01:26, 10.26it/s, ce=0.7256, ear=-2.0450, loss=0.5212]
[Train]:   8%|▊         | 76/962 [00:08<01:26, 10.26it/s, ce=0.7258, ear=-2.0466, loss=0.5212]
[Train]:   8%|▊         | 76/962 [00:08<01:26, 10.26it/s, ce=0.7243, ear=-2.0487, loss=0.5194]
[Train]:   8%|▊         | 78/962 [00:08<01:25, 10.32it/s, ce=0.7243, ear=-2.0487, loss=0.5194]
[Train]:   8%|▊         | 78/962 [00:08<01:25, 10.32it/s, ce=0.7244, ear=-2.0522, loss=0.5192]
[Train]:   8%|▊         | 78/962 [00:08<01:25, 10.32it/s, ce=0.7255, ear=-2.0548, loss=0.5201]
[Train]:   8%|▊         | 80/962 [00:08<01:23, 10.62it/s, ce=0.7255, ear=-2.0548, loss=0.5201]
[Train]:   8%|▊         | 80/962 [00:08<01:23, 10.62it/s, ce=0.7244, ear=-2.0569, loss=0.5187]
[Train]:   8%|▊         | 80/962 [00:08<01:23, 10.62it/s, ce=0.7248, ear=-2.0598, loss=0.5188]
[Train]:   9%|▊         | 82/962 [00:08<01:24, 10.44it/s, ce=0.7248, ear=-2.0598, loss=0.5188]
[Train]:   9%|▊         | 82/962 [00:08<01:24, 10.44it/s, ce=0.7250, ear=-2.0598, loss=0.5190]
[Train]:   9%|▊         | 82/962 [00:08<01:24, 10.44it/s, ce=0.7255, ear=-2.0616, loss=0.5194]
[Train]:   9%|▊         | 84/962 [00:08<01:25, 10.26it/s, ce=0.7255, ear=-2.0616, loss=0.5194]
[Train]:   9%|▊         | 84/962 [00:08<01:25, 10.26it/s, ce=0.7255, ear=-2.0626, loss=0.5192]
[Train]:   9%|▊         | 84/962 [00:09<01:25, 10.26it/s, ce=0.7254, ear=-2.0626, loss=0.5192]
[Train]:   9%|▉         | 86/962 [00:09<01:26, 10.17it/s, ce=0.7254, ear=-2.0626, loss=0.5192]
[Train]:   9%|▉         | 86/962 [00:09<01:26, 10.17it/s, ce=0.7265, ear=-2.0655, loss=0.5199]
[Train]:   9%|▉         | 86/962 [00:09<01:26, 10.17it/s, ce=0.7257, ear=-2.0688, loss=0.5188]
[Train]:   9%|▉         | 88/962 [00:09<01:25, 10.20it/s, ce=0.7257, ear=-2.0688, loss=0.5188]
[Train]:   9%|▉         | 88/962 [00:09<01:25, 10.20it/s, ce=0.7238, ear=-2.0711, loss=0.5167]
[Train]:   9%|▉         | 88/962 [00:09<01:25, 10.20it/s, ce=0.7242, ear=-2.0742, loss=0.5167]
[Train]:   9%|▉         | 90/962 [00:09<01:24, 10.27it/s, ce=0.7242, ear=-2.0742, loss=0.5167]
[Train]:   9%|▉         | 90/962 [00:09<01:24, 10.27it/s, ce=0.7236, ear=-2.0758, loss=0.5160]
[Train]:   9%|▉         | 90/962 [00:09<01:24, 10.27it/s, ce=0.7235, ear=-2.0763, loss=0.5158]
[Train]:  10%|▉         | 92/962 [00:09<01:25, 10.19it/s, ce=0.7235, ear=-2.0763, loss=0.5158]
[Train]:  10%|▉         | 92/962 [00:09<01:25, 10.19it/s, ce=0.7233, ear=-2.0778, loss=0.5156]
[Train]:  10%|▉         | 92/962 [00:09<01:25, 10.19it/s, ce=0.7228, ear=-2.0802, loss=0.5148]
[Train]:  10%|▉         | 94/962 [00:09<01:27,  9.94it/s, ce=0.7228, ear=-2.0802, loss=0.5148]
[Train]:  10%|▉         | 94/962 [00:09<01:27,  9.94it/s, ce=0.7227, ear=-2.0828, loss=0.5144]
[Train]:  10%|▉         | 94/962 [00:10<01:27,  9.94it/s, ce=0.7224, ear=-2.0861, loss=0.5138]
[Train]:  10%|▉         | 96/962 [00:10<01:25, 10.09it/s, ce=0.7224, ear=-2.0861, loss=0.5138]
[Train]:  10%|▉         | 96/962 [00:10<01:25, 10.09it/s, ce=0.7226, ear=-2.0874, loss=0.5139]
[Train]:  10%|▉         | 96/962 [00:10<01:25, 10.09it/s, ce=0.7222, ear=-2.0895, loss=0.5132]
[Train]:  10%|█         | 98/962 [00:10<01:24, 10.27it/s, ce=0.7222, ear=-2.0895, loss=0.5132]
[Train]:  10%|█         | 98/962 [00:10<01:24, 10.27it/s, ce=0.7223, ear=-2.0902, loss=0.5132]
[Train]:  10%|█         | 98/962 [00:10<01:24, 10.27it/s, ce=0.7233, ear=-2.0921, loss=0.5141]
[Train]:  10%|█         | 100/962 [00:10<01:22, 10.42it/s, ce=0.7233, ear=-2.0921, loss=0.5141]
[Train]:  10%|█         | 100/962 [00:10<01:22, 10.42it/s, ce=0.7231, ear=-2.0956, loss=0.5136]
[Train]:  10%|█         | 100/962 [00:10<01:22, 10.42it/s, ce=0.7229, ear=-2.0991, loss=0.5130]
[Train]:  11%|█         | 102/962 [00:10<01:23, 10.35it/s, ce=0.7229, ear=-2.0991, loss=0.5130]
[Train]:  11%|█         | 102/962 [00:10<01:23, 10.35it/s, ce=0.7226, ear=-2.1030, loss=0.5123]
[Train]:  11%|█         | 102/962 [00:10<01:23, 10.35it/s, ce=0.7230, ear=-2.1039, loss=0.5126]
[Train]:  11%|█         | 104/962 [00:10<01:22, 10.39it/s, ce=0.7230, ear=-2.1039, loss=0.5126]
[Train]:  11%|█         | 104/962 [00:10<01:22, 10.39it/s, ce=0.7219, ear=-2.1075, loss=0.5111]
[Train]:  11%|█         | 104/962 [00:10<01:22, 10.39it/s, ce=0.7219, ear=-2.1107, loss=0.5108]
[Train]:  11%|█         | 106/962 [00:10<01:21, 10.48it/s, ce=0.7219, ear=-2.1107, loss=0.5108]
[Train]:  11%|█         | 106/962 [00:11<01:21, 10.48it/s, ce=0.7216, ear=-2.1145, loss=0.5102]
[Train]:  11%|█         | 106/962 [00:11<01:21, 10.48it/s, ce=0.7213, ear=-2.1170, loss=0.5096]
[Train]:  11%|█         | 108/962 [00:11<01:20, 10.58it/s, ce=0.7213, ear=-2.1170, loss=0.5096]
[Train]:  11%|█         | 108/962 [00:11<01:20, 10.58it/s, ce=0.7205, ear=-2.1178, loss=0.5088]
[Train]:  11%|█         | 108/962 [00:11<01:20, 10.58it/s, ce=0.7200, ear=-2.1201, loss=0.5080]
[Train]:  11%|█▏        | 110/962 [00:11<01:21, 10.49it/s, ce=0.7200, ear=-2.1201, loss=0.5080]
[Train]:  11%|█▏        | 110/962 [00:11<01:21, 10.49it/s, ce=0.7213, ear=-2.1221, loss=0.5091]
[Train]:  11%|█▏        | 110/962 [00:11<01:21, 10.49it/s, ce=0.7216, ear=-2.1247, loss=0.5091]
[Train]:  12%|█▏        | 112/962 [00:11<01:21, 10.38it/s, ce=0.7216, ear=-2.1247, loss=0.5091]
[Train]:  12%|█▏        | 112/962 [00:11<01:21, 10.38it/s, ce=0.7214, ear=-2.1281, loss=0.5086]
[Train]:  12%|█▏        | 112/962 [00:11<01:21, 10.38it/s, ce=0.7208, ear=-2.1302, loss=0.5078]
[Train]:  12%|█▏        | 114/962 [00:11<01:21, 10.38it/s, ce=0.7208, ear=-2.1302, loss=0.5078]
[Train]:  12%|█▏        | 114/962 [00:11<01:21, 10.38it/s, ce=0.7205, ear=-2.1323, loss=0.5072]
[Train]:  12%|█▏        | 114/962 [00:11<01:21, 10.38it/s, ce=0.7198, ear=-2.1340, loss=0.5064]
[Train]:  12%|█▏        | 116/962 [00:11<01:21, 10.43it/s, ce=0.7198, ear=-2.1340, loss=0.5064]
[Train]:  12%|█▏        | 116/962 [00:11<01:21, 10.43it/s, ce=0.7198, ear=-2.1374, loss=0.5061]
[Train]:  12%|█▏        | 116/962 [00:12<01:21, 10.43it/s, ce=0.7196, ear=-2.1401, loss=0.5056]
[Train]:  12%|█▏        | 118/962 [00:12<01:20, 10.53it/s, ce=0.7196, ear=-2.1401, loss=0.5056]
[Train]:  12%|█▏        | 118/962 [00:12<01:20, 10.53it/s, ce=0.7193, ear=-2.1420, loss=0.5051]
[Train]:  12%|█▏        | 118/962 [00:12<01:20, 10.53it/s, ce=0.7191, ear=-2.1439, loss=0.5047]
[Train]:  12%|█▏        | 120/962 [00:12<01:19, 10.56it/s, ce=0.7191, ear=-2.1439, loss=0.5047]
[Train]:  12%|█▏        | 120/962 [00:12<01:19, 10.56it/s, ce=0.7188, ear=-2.1472, loss=0.5041]
[Train]:  12%|█▏        | 120/962 [00:12<01:19, 10.56it/s, ce=0.7178, ear=-2.1520, loss=0.5026]
[Train]:  13%|█▎        | 122/962 [00:12<01:20, 10.48it/s, ce=0.7178, ear=-2.1520, loss=0.5026]
[Train]:  13%|█▎        | 122/962 [00:12<01:20, 10.48it/s, ce=0.7177, ear=-2.1547, loss=0.5023]
[Train]:  13%|█▎        | 122/962 [00:12<01:20, 10.48it/s, ce=0.7180, ear=-2.1592, loss=0.5021]
[Train]:  13%|█▎        | 124/962 [00:12<01:19, 10.53it/s, ce=0.7180, ear=-2.1592, loss=0.5021]
[Train]:  13%|█▎        | 124/962 [00:12<01:19, 10.53it/s, ce=0.7176, ear=-2.1608, loss=0.5015]
[Train]:  13%|█▎        | 124/962 [00:12<01:19, 10.53it/s, ce=0.7174, ear=-2.1628, loss=0.5011]
[Train]:  13%|█▎        | 126/962 [00:12<01:20, 10.39it/s, ce=0.7174, ear=-2.1628, loss=0.5011]
[Train]:  13%|█▎        | 126/962 [00:12<01:20, 10.39it/s, ce=0.7171, ear=-2.1660, loss=0.5005]
[Train]:  13%|█▎        | 126/962 [00:13<01:20, 10.39it/s, ce=0.7167, ear=-2.1674, loss=0.4999]
[Train]:  13%|█▎        | 128/962 [00:13<01:20, 10.39it/s, ce=0.7167, ear=-2.1674, loss=0.4999]
[Train]:  13%|█▎        | 128/962 [00:13<01:20, 10.39it/s, ce=0.7167, ear=-2.1703, loss=0.4997]
[Train]:  13%|█▎        | 128/962 [00:13<01:20, 10.39it/s, ce=0.7167, ear=-2.1726, loss=0.4994]
[Train]:  14%|█▎        | 130/962 [00:13<01:19, 10.45it/s, ce=0.7167, ear=-2.1726, loss=0.4994]
[Train]:  14%|█▎        | 130/962 [00:13<01:19, 10.45it/s, ce=0.7165, ear=-2.1745, loss=0.4991]
[Train]:  14%|█▎        | 130/962 [00:13<01:19, 10.45it/s, ce=0.7161, ear=-2.1781, loss=0.4983]
[Train]:  14%|█▎        | 132/962 [00:13<01:20, 10.34it/s, ce=0.7161, ear=-2.1781, loss=0.4983]
[Train]:  14%|█▎        | 132/962 [00:13<01:20, 10.34it/s, ce=0.7159, ear=-2.1811, loss=0.4978]
[Train]:  14%|█▎        | 132/962 [00:13<01:20, 10.34it/s, ce=0.7155, ear=-2.1852, loss=0.4970]
[Train]:  14%|█▍        | 134/962 [00:13<01:20, 10.26it/s, ce=0.7155, ear=-2.1852, loss=0.4970]
[Train]:  14%|█▍        | 134/962 [00:13<01:20, 10.26it/s, ce=0.7152, ear=-2.1899, loss=0.4962]
[Train]:  14%|█▍        | 134/962 [00:13<01:20, 10.26it/s, ce=0.7153, ear=-2.1948, loss=0.4958]
[Train]:  14%|█▍        | 136/962 [00:13<01:20, 10.23it/s, ce=0.7153, ear=-2.1948, loss=0.4958]
