
>>> [1/63] GetFair | toxigen | seed=2024
>>> Command: python3 src_script/train/train_baseline_getfair.py --dataset toxigen --seed 2024 --lambda_gf 0.5 --epochs 6 --patience 3 --batch_size 16 --grad_accum 2 --lr 2e-5 --max_len 128
>>> Start: Sun Mar 15 05:11:32 CST 2026
/root/miniconda/lib/python3.8/site-packages/torchvision/datapoints/__init__.py:12: UserWarning: The torchvision.datapoints and torchvision.transforms.v2 namespaces are still Beta. While we do not expect major breaking changes, some APIs may still change according to user feedback. Please submit any feedback you may have in this issue: https://github.com/pytorch/vision/issues/6753, and you can also check out https://github.com/pytorch/vision/issues/7319 to learn more about the APIs that we suspect might involve future changes. You can silence this warning by calling torchvision.disable_beta_transforms_warning().
  warnings.warn(_BETA_TRANSFORMS_WARNING)
/root/miniconda/lib/python3.8/site-packages/torchvision/transforms/v2/__init__.py:54: UserWarning: The torchvision.datapoints and torchvision.transforms.v2 namespaces are still Beta. While we do not expect major breaking changes, some APIs may still change according to user feedback. Please submit any feedback you may have in this issue: https://github.com/pytorch/vision/issues/6753, and you can also check out https://github.com/pytorch/vision/issues/7319 to learn more about the APIs that we suspect might involve future changes. You can silence this warning by calling torchvision.disable_beta_transforms_warning().
  warnings.warn(_BETA_TRANSFORMS_WARNING)
[Hardware] TF32 acceleration enabled for Ampere+ GPUs.
[Experiment] GetFair_toxigen_seed2024_0315_0511
[Data] Train: 7168 | Val: 896 | Test: 896
[Model] GetFair | lambda_gf=0.5

Epoch 1/6

[Train]:   0%|          | 0/448 [00:00<?, ?it/s]
[Train]:   4%|▍         | 19/448 [00:04<01:32,  4.65it/s, ce=0.7058, gf=0.0000, loss=0.7058]
[Train]:   4%|▍         | 20/448 [00:04<01:34,  4.54it/s, ce=0.7058, gf=0.0000, loss=0.7058]
[Train]:   4%|▍         | 20/448 [00:05<01:34,  4.54it/s, ce=0.7083, gf=0.0000, loss=0.7083]
[Train]:   5%|▍         | 21/448 [00:05<01:31,  4.64it/s, ce=0.7083, gf=0.0000, loss=0.7083]
[Train]:   5%|▍         | 21/448 [00:05<01:31,  4.64it/s, ce=0.7044, gf=0.0000, loss=0.7044]
[Train]:   5%|▍         | 22/448 [00:05<01:34,  4.53it/s, ce=0.7044, gf=0.0000, loss=0.7044]
[Train]:   5%|▍         | 22/448 [00:05<01:34,  4.53it/s, ce=0.7053, gf=0.0000, loss=0.7053]
[Train]:   5%|▌         | 23/448 [00:05<01:31,  4.63it/s, ce=0.7053, gf=0.0000, loss=0.7053]
[Train]:   5%|▌         | 23/448 [00:05<01:31,  4.63it/s, ce=0.7032, gf=0.0000, loss=0.7032]
[Train]:   5%|▌         | 24/448 [00:05<01:33,  4.53it/s, ce=0.7032, gf=0.0000, loss=0.7032]
[Train]:   5%|▌         | 24/448 [00:05<01:33,  4.53it/s, ce=0.7024, gf=0.0000, loss=0.7024]
[Train]:   6%|▌         | 25/448 [00:05<01:31,  4.63it/s, ce=0.7024, gf=0.0000, loss=0.7024]
[Train]:   6%|▌         | 25/448 [00:06<01:31,  4.63it/s, ce=0.7014, gf=0.0000, loss=0.7014]
[Train]:   6%|▌         | 26/448 [00:06<01:32,  4.55it/s, ce=0.7014, gf=0.0000, loss=0.7014]
[Train]:   6%|▌         | 26/448 [00:06<01:32,  4.55it/s, ce=0.7033, gf=0.0000, loss=0.7033]
[Train]:   6%|▌         | 27/448 [00:06<01:30,  4.66it/s, ce=0.7033, gf=0.0000, loss=0.7033]
[Train]:   6%|▌         | 27/448 [00:06<01:30,  4.66it/s, ce=0.7023, gf=0.0000, loss=0.7023]
[Train]:   6%|▋         | 28/448 [00:06<01:32,  4.55it/s, ce=0.7023, gf=0.0000, loss=0.7023]
[Train]:   6%|▋         | 28/448 [00:06<01:32,  4.55it/s, ce=0.7006, gf=0.0000, loss=0.7006]
[Train]:   6%|▋         | 29/448 [00:06<01:30,  4.63it/s, ce=0.7006, gf=0.0000, loss=0.7006]
[Train]:   6%|▋         | 29/448 [00:07<01:30,  4.63it/s, ce=0.6987, gf=0.0000, loss=0.6987]
[Train]:   7%|▋         | 30/448 [00:07<01:32,  4.52it/s, ce=0.6987, gf=0.0000, loss=0.6987]
[Train]:   7%|▋         | 30/448 [00:07<01:32,  4.52it/s, ce=0.6964, gf=0.0000, loss=0.6964]
[Train]:   7%|▋         | 31/448 [00:07<01:30,  4.63it/s, ce=0.6964, gf=0.0000, loss=0.6964]
[Train]:   7%|▋         | 31/448 [00:07<01:30,  4.63it/s, ce=0.6983, gf=0.0000, loss=0.6983]
[Train]:   7%|▋         | 32/448 [00:07<01:31,  4.53it/s, ce=0.6983, gf=0.0000, loss=0.6983]
[Train]:   7%|▋         | 32/448 [00:07<01:31,  4.53it/s, ce=0.7012, gf=0.0000, loss=0.7012]
[Train]:   7%|▋         | 33/448 [00:07<01:29,  4.63it/s, ce=0.7012, gf=0.0000, loss=0.7012]
[Train]:   7%|▋         | 33/448 [00:07<01:29,  4.63it/s, ce=0.7010, gf=0.0000, loss=0.7010]
[Train]:   8%|▊         | 34/448 [00:07<01:31,  4.53it/s, ce=0.7010, gf=0.0000, loss=0.7010]
[Train]:   8%|▊         | 34/448 [00:08<01:31,  4.53it/s, ce=0.7021, gf=0.0000, loss=0.7021]
[Train]:   8%|▊         | 35/448 [00:08<01:29,  4.62it/s, ce=0.7021, gf=0.0000, loss=0.7021]
[Train]:   8%|▊         | 35/448 [00:08<01:29,  4.62it/s, ce=0.7021, gf=0.0000, loss=0.7021]
[Train]:   8%|▊         | 36/448 [00:08<01:31,  4.51it/s, ce=0.7021, gf=0.0000, loss=0.7021]
[Train]:   8%|▊         | 36/448 [00:08<01:31,  4.51it/s, ce=0.7024, gf=0.0000, loss=0.7024]
[Train]:   8%|▊         | 37/448 [00:08<01:29,  4.60it/s, ce=0.7024, gf=0.0000, loss=0.7024]
[Train]:   8%|▊         | 37/448 [00:08<01:29,  4.60it/s, ce=0.7021, gf=0.0000, loss=0.7021]
[Train]:   8%|▊         | 38/448 [00:08<01:30,  4.52it/s, ce=0.7021, gf=0.0000, loss=0.7021]
[Train]:   8%|▊         | 38/448 [00:08<01:30,  4.52it/s, ce=0.7024, gf=0.0000, loss=0.7024]
[Train]:   9%|▊         | 39/448 [00:08<01:28,  4.63it/s, ce=0.7024, gf=0.0000, loss=0.7024]
[Train]:   9%|▊         | 39/448 [00:09<01:28,  4.63it/s, ce=0.7013, gf=0.0000, loss=0.7014]
[Train]:   9%|▉         | 40/448 [00:09<01:30,  4.53it/s, ce=0.7013, gf=0.0000, loss=0.7014]
[Train]:   9%|▉         | 40/448 [00:09<01:30,  4.53it/s, ce=0.7016, gf=0.0000, loss=0.7016]
[Train]:   9%|▉         | 41/448 [00:09<01:28,  4.60it/s, ce=0.7016, gf=0.0000, loss=0.7016]
[Train]:   9%|▉         | 41/448 [00:09<01:28,  4.60it/s, ce=0.7002, gf=0.0000, loss=0.7002]
[Train]:   9%|▉         | 42/448 [00:09<01:30,  4.50it/s, ce=0.7002, gf=0.0000, loss=0.7002]
[Train]:   9%|▉         | 42/448 [00:09<01:30,  4.50it/s, ce=0.7009, gf=0.0000, loss=0.7009]
[Train]:  10%|▉         | 43/448 [00:09<01:28,  4.59it/s, ce=0.7009, gf=0.0000, loss=0.7009]
[Train]:  10%|▉         | 43/448 [00:10<01:28,  4.59it/s, ce=0.7012, gf=0.0000, loss=0.7012]
[Train]:  10%|▉         | 44/448 [00:10<01:29,  4.49it/s, ce=0.7012, gf=0.0000, loss=0.7012]
[Train]:  10%|▉         | 44/448 [00:10<01:29,  4.49it/s, ce=0.7010, gf=0.0000, loss=0.7010]
[Train]:  10%|█         | 45/448 [00:10<01:30,  4.47it/s, ce=0.7010, gf=0.0000, loss=0.7010]
[Train]:  10%|█         | 45/448 [00:10<01:30,  4.47it/s, ce=0.7015, gf=0.0000, loss=0.7015]
[Train]:  10%|█         | 46/448 [00:10<01:31,  4.41it/s, ce=0.7015, gf=0.0000, loss=0.7015]
[Train]:  10%|█         | 46/448 [00:10<01:31,  4.41it/s, ce=0.7025, gf=0.0000, loss=0.7025]
[Train]:  10%|█         | 47/448 [00:10<01:28,  4.54it/s, ce=0.7025, gf=0.0000, loss=0.7025]
[Train]:  10%|█         | 47/448 [00:10<01:28,  4.54it/s, ce=0.7028, gf=0.0000, loss=0.7028]
[Train]:  11%|█         | 48/448 [00:10<01:29,  4.45it/s, ce=0.7028, gf=0.0000, loss=0.7028]
[Train]:  11%|█         | 48/448 [00:11<01:29,  4.45it/s, ce=0.7036, gf=0.0000, loss=0.7036]
[Train]:  11%|█         | 49/448 [00:11<01:30,  4.43it/s, ce=0.7036, gf=0.0000, loss=0.7036]
[Train]:  11%|█         | 49/448 [00:11<01:30,  4.43it/s, ce=0.7039, gf=0.0000, loss=0.7039]
[Train]:  11%|█         | 50/448 [00:11<01:32,  4.31it/s, ce=0.7039, gf=0.0000, loss=0.7039]
[Train]:  11%|█         | 50/448 [00:11<01:32,  4.31it/s, ce=0.7054, gf=0.0000, loss=0.7054]
[Train]:  11%|█▏        | 51/448 [00:11<01:29,  4.43it/s, ce=0.7054, gf=0.0000, loss=0.7054]
[Train]:  11%|█▏        | 51/448 [00:11<01:29,  4.43it/s, ce=0.7067, gf=0.0000, loss=0.7067]
[Train]:  12%|█▏        | 52/448 [00:11<01:20,  4.92it/s, ce=0.7067, gf=0.0000, loss=0.7067]
[Train]:  12%|█▏        | 52/448 [00:12<01:20,  4.92it/s, ce=0.7056, gf=0.0000, loss=0.7056]
[Train]:  12%|█▏        | 53/448 [00:12<01:21,  4.83it/s, ce=0.7056, gf=0.0000, loss=0.7056]
[Train]:  12%|█▏        | 53/448 [00:12<01:21,  4.83it/s, ce=0.7054, gf=0.0000, loss=0.7054]
[Train]:  12%|█▏        | 54/448 [00:12<01:24,  4.66it/s, ce=0.7054, gf=0.0000, loss=0.7054]
[Train]:  12%|█▏        | 54/448 [00:12<01:24,  4.66it/s, ce=0.7051, gf=0.0000, loss=0.7051]
[Train]:  12%|█▏        | 55/448 [00:12<01:22,  4.74it/s, ce=0.7051, gf=0.0000, loss=0.7051]
[Train]:  12%|█▏        | 55/448 [00:12<01:22,  4.74it/s, ce=0.7055, gf=0.0000, loss=0.7055]
[Train]:  12%|█▎        | 56/448 [00:12<01:24,  4.62it/s, ce=0.7055, gf=0.0000, loss=0.7055]
[Train]:  12%|█▎        | 56/448 [00:12<01:24,  4.62it/s, ce=0.7059, gf=0.0000, loss=0.7059]
[Train]:  13%|█▎        | 57/448 [00:12<01:23,  4.69it/s, ce=0.7059, gf=0.0000, loss=0.7059]
[Train]:  13%|█▎        | 57/448 [00:13<01:23,  4.69it/s, ce=0.7059, gf=0.0000, loss=0.7059]
[Train]:  13%|█▎        | 58/448 [00:13<01:25,  4.56it/s, ce=0.7059, gf=0.0000, loss=0.7059]
[Train]:  13%|█▎        | 58/448 [00:13<01:25,  4.56it/s, ce=0.7056, gf=0.0000, loss=0.7056]
[Train]:  13%|█▎        | 59/448 [00:13<01:23,  4.65it/s, ce=0.7056, gf=0.0000, loss=0.7056]
[Train]:  13%|█▎        | 59/448 [00:13<01:23,  4.65it/s, ce=0.7051, gf=0.0000, loss=0.7051]
[Train]:  13%|█▎        | 60/448 [00:13<01:25,  4.55it/s, ce=0.7051, gf=0.0000, loss=0.7051]
[Train]:  13%|█▎        | 60/448 [00:13<01:25,  4.55it/s, ce=0.7058, gf=0.0000, loss=0.7058]
[Train]:  14%|█▎        | 61/448 [00:13<01:23,  4.64it/s, ce=0.7058, gf=0.0000, loss=0.7058]
[Train]:  14%|█▎        | 61/448 [00:14<01:23,  4.64it/s, ce=0.7059, gf=0.0000, loss=0.7059]
[Train]:  14%|█▍        | 62/448 [00:14<01:25,  4.53it/s, ce=0.7059, gf=0.0000, loss=0.7059]
[Train]:  14%|█▍        | 62/448 [00:14<01:25,  4.53it/s, ce=0.7058, gf=0.0000, loss=0.7058]
[Train]:  14%|█▍        | 63/448 [00:14<01:23,  4.64it/s, ce=0.7058, gf=0.0000, loss=0.7058]
[Train]:  14%|█▍        | 63/448 [00:14<01:23,  4.64it/s, ce=0.7061, gf=0.0000, loss=0.7061]
[Train]:  14%|█▍        | 64/448 [00:14<01:24,  4.56it/s, ce=0.7061, gf=0.0000, loss=0.7061]
[Train]:  14%|█▍        | 64/448 [00:14<01:24,  4.56it/s, ce=0.7055, gf=0.0000, loss=0.7055]
[Train]:  15%|█▍        | 65/448 [00:14<01:22,  4.66it/s, ce=0.7055, gf=0.0000, loss=0.7055]
[Train]:  15%|█▍        | 65/448 [00:14<01:22,  4.66it/s, ce=0.7052, gf=0.0000, loss=0.7052]
[Train]:  15%|█▍        | 66/448 [00:14<01:23,  4.57it/s, ce=0.7052, gf=0.0000, loss=0.7052]
[Train]:  15%|█▍        | 66/448 [00:15<01:23,  4.57it/s, ce=0.7042, gf=0.0000, loss=0.7042]
[Train]:  15%|█▍        | 67/448 [00:15<01:21,  4.66it/s, ce=0.7042, gf=0.0000, loss=0.7042]
[Train]:  15%|█▍        | 67/448 [00:15<01:21,  4.66it/s, ce=0.7050, gf=0.0000, loss=0.7050]
[Train]:  15%|█▌        | 68/448 [00:15<01:23,  4.57it/s, ce=0.7050, gf=0.0000, loss=0.7050]
[Train]:  15%|█▌        | 68/448 [00:15<01:23,  4.57it/s, ce=0.7058, gf=0.0000, loss=0.7058]
[Train]:  15%|█▌        | 69/448 [00:15<01:21,  4.67it/s, ce=0.7058, gf=0.0000, loss=0.7058]
[Train]:  15%|█▌        | 69/448 [00:15<01:21,  4.67it/s, ce=0.7063, gf=0.0000, loss=0.7063]
[Train]:  16%|█▌        | 70/448 [00:15<01:22,  4.57it/s, ce=0.7063, gf=0.0000, loss=0.7063]
[Train]:  16%|█▌        | 70/448 [00:15<01:22,  4.57it/s, ce=0.7058, gf=0.0000, loss=0.7058]
[Train]:  16%|█▌        | 71/448 [00:15<01:21,  4.64it/s, ce=0.7058, gf=0.0000, loss=0.7058]
[Train]:  16%|█▌        | 71/448 [00:16<01:21,  4.64it/s, ce=0.7060, gf=0.0000, loss=0.7060]
[Train]:  16%|█▌        | 72/448 [00:16<01:22,  4.53it/s, ce=0.7060, gf=0.0000, loss=0.7060]
[Train]:  16%|█▌        | 72/448 [00:16<01:22,  4.53it/s, ce=0.7063, gf=0.0000, loss=0.7063]
[Train]:  16%|█▋        | 73/448 [00:16<01:21,  4.62it/s, ce=0.7063, gf=0.0000, loss=0.7063]
[Train]:  16%|█▋        | 73/448 [00:16<01:21,  4.62it/s, ce=0.7056, gf=0.0000, loss=0.7056]
[Train]:  17%|█▋        | 74/448 [00:16<01:22,  4.52it/s, ce=0.7056, gf=0.0000, loss=0.7056]
[Train]:  17%|█▋        | 74/448 [00:16<01:22,  4.52it/s, ce=0.7057, gf=0.0000, loss=0.7057]
[Train]:  17%|█▋        | 75/448 [00:16<01:20,  4.61it/s, ce=0.7057, gf=0.0000, loss=0.7057]
[Train]:  17%|█▋        | 75/448 [00:17<01:20,  4.61it/s, ce=0.7057, gf=0.0000, loss=0.7057]
[Train]:  17%|█▋        | 76/448 [00:17<01:22,  4.52it/s, ce=0.7057, gf=0.0000, loss=0.7057]
[Train]:  17%|█▋        | 76/448 [00:17<01:22,  4.52it/s, ce=0.7055, gf=0.0000, loss=0.7055]
[Train]:  17%|█▋        | 77/448 [00:17<01:20,  4.62it/s, ce=0.7055, gf=0.0000, loss=0.7055]
[Train]:  17%|█▋        | 77/448 [00:17<01:20,  4.62it/s, ce=0.7055, gf=0.0000, loss=0.7055]
[Train]:  17%|█▋        | 78/448 [00:17<01:21,  4.52it/s, ce=0.7055, gf=0.0000, loss=0.7055]
[Train]:  17%|█▋        | 78/448 [00:17<01:21,  4.52it/s, ce=0.7056, gf=0.0000, loss=0.7056]
[Train]:  18%|█▊        | 79/448 [00:17<01:19,  4.61it/s, ce=0.7056, gf=0.0000, loss=0.7056]
[Train]:  18%|█▊        | 79/448 [00:17<01:19,  4.61it/s, ce=0.7051, gf=0.0000, loss=0.7051]
[Train]:  18%|█▊        | 80/448 [00:17<01:21,  4.51it/s, ce=0.7051, gf=0.0000, loss=0.7051]
[Train]:  18%|█▊        | 80/448 [00:18<01:21,  4.51it/s, ce=0.7046, gf=0.0000, loss=0.7046]
[Train]:  18%|█▊        | 81/448 [00:18<01:19,  4.61it/s, ce=0.7046, gf=0.0000, loss=0.7046]
[Train]:  18%|█▊        | 81/448 [00:18<01:19,  4.61it/s, ce=0.7047, gf=0.0000, loss=0.7047]
[Train]:  18%|█▊        | 82/448 [00:18<01:20,  4.52it/s, ce=0.7047, gf=0.0000, loss=0.7047]
[Train]:  18%|█▊        | 82/448 [00:18<01:20,  4.52it/s, ce=0.7040, gf=0.0000, loss=0.7040]
[Train]:  19%|█▊        | 83/448 [00:18<01:18,  4.63it/s, ce=0.7040, gf=0.0000, loss=0.7040]
[Train]:  19%|█▊        | 83/448 [00:18<01:18,  4.63it/s, ce=0.7039, gf=0.0000, loss=0.7039]
[Train]:  19%|█▉        | 84/448 [00:18<01:20,  4.53it/s, ce=0.7039, gf=0.0000, loss=0.7039]
[Train]:  19%|█▉        | 84/448 [00:19<01:20,  4.53it/s, ce=0.7048, gf=0.0000, loss=0.7048]
[Train]:  19%|█▉        | 85/448 [00:19<01:18,  4.64it/s, ce=0.7048, gf=0.0000, loss=0.7048]
[Train]:  19%|█▉        | 85/448 [00:19<01:18,  4.64it/s, ce=0.7048, gf=0.0000, loss=0.7048]
[Train]:  19%|█▉        | 86/448 [00:19<01:19,  4.56it/s, ce=0.7048, gf=0.0000, loss=0.7048]
[Train]:  19%|█▉        | 86/448 [00:19<01:19,  4.56it/s, ce=0.7038, gf=0.0000, loss=0.7038]
[Train]:  19%|█▉        | 87/448 [00:19<01:17,  4.65it/s, ce=0.7038, gf=0.0000, loss=0.7038]
[Train]:  19%|█▉        | 87/448 [00:19<01:17,  4.65it/s, ce=0.7032, gf=0.0000, loss=0.7032]
[Train]:  20%|█▉        | 88/448 [00:19<01:19,  4.53it/s, ce=0.7032, gf=0.0000, loss=0.7032]
[Train]:  20%|█▉        | 88/448 [00:19<01:19,  4.53it/s, ce=0.7029, gf=0.0000, loss=0.7029]
[Train]:  20%|█▉        | 89/448 [00:19<01:17,  4.63it/s, ce=0.7029, gf=0.0000, loss=0.7029]
[Train]:  20%|█▉        | 89/448 [00:20<01:17,  4.63it/s, ce=0.7030, gf=0.0000, loss=0.7030]
[Train]:  20%|██        | 90/448 [00:20<01:18,  4.54it/s, ce=0.7030, gf=0.0000, loss=0.7030]
[Train]:  20%|██        | 90/448 [00:20<01:18,  4.54it/s, ce=0.7034, gf=0.0000, loss=0.7034]
[Train]:  20%|██        | 91/448 [00:20<01:17,  4.62it/s, ce=0.7034, gf=0.0000, loss=0.7034]
[Train]:  20%|██        | 91/448 [00:20<01:17,  4.62it/s, ce=0.7034, gf=0.0000, loss=0.7034]
[Train]:  21%|██        | 92/448 [00:20<01:18,  4.51it/s, ce=0.7034, gf=0.0000, loss=0.7034]
[Train]:  21%|██        | 92/448 [00:20<01:18,  4.51it/s, ce=0.7025, gf=0.0000, loss=0.7025]
[Train]:  21%|██        | 93/448 [00:20<01:16,  4.61it/s, ce=0.7025, gf=0.0000, loss=0.7025]
[Train]:  21%|██        | 93/448 [00:21<01:16,  4.61it/s, ce=0.7030, gf=0.0000, loss=0.7030]
[Train]:  21%|██        | 94/448 [00:21<01:18,  4.53it/s, ce=0.7030, gf=0.0000, loss=0.7030]
[Train]:  21%|██        | 94/448 [00:21<01:18,  4.53it/s, ce=0.7032, gf=0.0000, loss=0.7032]
[Train]:  21%|██        | 95/448 [00:21<01:16,  4.64it/s, ce=0.7032, gf=0.0000, loss=0.7032]
[Train]:  21%|██        | 95/448 [00:21<01:16,  4.64it/s, ce=0.7030, gf=0.0000, loss=0.7030]
[Train]:  21%|██▏       | 96/448 [00:21<01:17,  4.53it/s, ce=0.7030, gf=0.0000, loss=0.7030]
[Train]:  21%|██▏       | 96/448 [00:21<01:17,  4.53it/s, ce=0.7028, gf=0.0000, loss=0.7028]
[Train]:  22%|██▏       | 97/448 [00:21<01:15,  4.62it/s, ce=0.7028, gf=0.0000, loss=0.7028]
[Train]:  22%|██▏       | 97/448 [00:21<01:15,  4.62it/s, ce=0.7031, gf=0.0000, loss=0.7031]
[Train]:  22%|██▏       | 98/448 [00:21<01:17,  4.54it/s, ce=0.7031, gf=0.0000, loss=0.7031]
[Train]:  22%|██▏       | 98/448 [00:22<01:17,  4.54it/s, ce=0.7026, gf=0.0000, loss=0.7026]
[Train]:  22%|██▏       | 99/448 [00:22<01:15,  4.65it/s, ce=0.7026, gf=0.0000, loss=0.7026]
[Train]:  22%|██▏       | 99/448 [00:22<01:15,  4.65it/s, ce=0.7031, gf=0.0000, loss=0.7031]
[Train]:  22%|██▏       | 100/448 [00:22<01:16,  4.55it/s, ce=0.7031, gf=0.0000, loss=0.7031]
[Train]:  22%|██▏       | 100/448 [00:22<01:16,  4.55it/s, ce=0.7020, gf=0.0000, loss=0.7020]
[Train]:  23%|██▎       | 101/448 [00:22<01:15,  4.62it/s, ce=0.7020, gf=0.0000, loss=0.7020]
[Train]:  23%|██▎       | 101/448 [00:22<01:15,  4.62it/s, ce=0.7024, gf=0.0000, loss=0.7024]
[Train]:  23%|██▎       | 102/448 [00:22<01:16,  4.53it/s, ce=0.7024, gf=0.0000, loss=0.7024]
[Train]:  23%|██▎       | 102/448 [00:22<01:16,  4.53it/s, ce=0.7025, gf=0.0000, loss=0.7025]
[Train]:  23%|██▎       | 103/448 [00:22<01:14,  4.62it/s, ce=0.7025, gf=0.0000, loss=0.7025]
[Train]:  23%|██▎       | 103/448 [00:23<01:14,  4.62it/s, ce=0.7025, gf=0.0000, loss=0.7025]
