
>>> [1/63] EAR | toxigen | seed=2024
>>> Command: python3 src_script/train/train_baseline_ear.py --dataset toxigen --seed 2024 --lambda_ear 0.1 --epochs 6 --patience 3 --batch_size 16 --grad_accum 2 --lr 2e-5 --max_len 128
>>> Start: Sun Mar 15 05:06:54 CST 2026
/root/miniconda/lib/python3.8/site-packages/torchvision/datapoints/__init__.py:12: UserWarning: The torchvision.datapoints and torchvision.transforms.v2 namespaces are still Beta. While we do not expect major breaking changes, some APIs may still change according to user feedback. Please submit any feedback you may have in this issue: https://github.com/pytorch/vision/issues/6753, and you can also check out https://github.com/pytorch/vision/issues/7319 to learn more about the APIs that we suspect might involve future changes. You can silence this warning by calling torchvision.disable_beta_transforms_warning().
  warnings.warn(_BETA_TRANSFORMS_WARNING)
/root/miniconda/lib/python3.8/site-packages/torchvision/transforms/v2/__init__.py:54: UserWarning: The torchvision.datapoints and torchvision.transforms.v2 namespaces are still Beta. While we do not expect major breaking changes, some APIs may still change according to user feedback. Please submit any feedback you may have in this issue: https://github.com/pytorch/vision/issues/6753, and you can also check out https://github.com/pytorch/vision/issues/7319 to learn more about the APIs that we suspect might involve future changes. You can silence this warning by calling torchvision.disable_beta_transforms_warning().
  warnings.warn(_BETA_TRANSFORMS_WARNING)
[Hardware] TF32 acceleration enabled for Ampere+ GPUs.
[Experiment] EAR_toxigen_seed2024_0315_0506
[Data] Train: 7168 | Val: 896 | Test: 896
[Model] EAR | lambda_ear=0.1

Epoch 1/6

[Train]:   0%|          | 0/448 [00:00<?, ?it/s]
[Train]:   2%|▏         | 8/448 [00:01<00:58,  7.54it/s, ce=0.6913, ear=-1.9482, loss=0.4965]
[Train]:   2%|▏         | 8/448 [00:01<00:58,  7.54it/s, ce=0.6899, ear=-1.9503, loss=0.4948]
[Train]:   2%|▏         | 10/448 [00:01<00:51,  8.50it/s, ce=0.6899, ear=-1.9503, loss=0.4948]
[Train]:   2%|▏         | 10/448 [00:01<00:51,  8.50it/s, ce=0.6942, ear=-1.9506, loss=0.4992]
[Train]:   2%|▏         | 10/448 [00:01<00:51,  8.50it/s, ce=0.6976, ear=-1.9492, loss=0.5027]
[Train]:   3%|▎         | 12/448 [00:01<00:47,  9.10it/s, ce=0.6976, ear=-1.9492, loss=0.5027]
[Train]:   3%|▎         | 12/448 [00:01<00:47,  9.10it/s, ce=0.6929, ear=-1.9387, loss=0.4991]
[Train]:   3%|▎         | 12/448 [00:02<00:47,  9.10it/s, ce=0.6936, ear=-1.9437, loss=0.4992]
[Train]:   3%|▎         | 14/448 [00:02<00:46,  9.36it/s, ce=0.6936, ear=-1.9437, loss=0.4992]
[Train]:   3%|▎         | 14/448 [00:02<00:46,  9.36it/s, ce=0.7011, ear=-1.9423, loss=0.5068]
[Train]:   3%|▎         | 14/448 [00:02<00:46,  9.36it/s, ce=0.7039, ear=-1.9448, loss=0.5094]
[Train]:   4%|▎         | 16/448 [00:02<00:44,  9.80it/s, ce=0.7039, ear=-1.9448, loss=0.5094]
[Train]:   4%|▎         | 16/448 [00:02<00:44,  9.80it/s, ce=0.7061, ear=-1.9437, loss=0.5118]
[Train]:   4%|▎         | 16/448 [00:02<00:44,  9.80it/s, ce=0.7068, ear=-1.9444, loss=0.5124]
[Train]:   4%|▍         | 18/448 [00:02<00:42, 10.01it/s, ce=0.7068, ear=-1.9444, loss=0.5124]
[Train]:   4%|▍         | 18/448 [00:02<00:42, 10.01it/s, ce=0.7073, ear=-1.9394, loss=0.5133]
[Train]:   4%|▍         | 18/448 [00:02<00:42, 10.01it/s, ce=0.7058, ear=-1.9382, loss=0.5119]
[Train]:   4%|▍         | 20/448 [00:02<00:41, 10.25it/s, ce=0.7058, ear=-1.9382, loss=0.5119]
[Train]:   4%|▍         | 20/448 [00:02<00:41, 10.25it/s, ce=0.7083, ear=-1.9421, loss=0.5141]
[Train]:   4%|▍         | 20/448 [00:02<00:41, 10.25it/s, ce=0.7044, ear=-1.9377, loss=0.5106]
[Train]:   5%|▍         | 22/448 [00:02<00:40, 10.40it/s, ce=0.7044, ear=-1.9377, loss=0.5106]
[Train]:   5%|▍         | 22/448 [00:02<00:40, 10.40it/s, ce=0.7053, ear=-1.9384, loss=0.5115]
[Train]:   5%|▍         | 22/448 [00:03<00:40, 10.40it/s, ce=0.7032, ear=-1.9365, loss=0.5095]
[Train]:   5%|▌         | 24/448 [00:03<00:40, 10.35it/s, ce=0.7032, ear=-1.9365, loss=0.5095]
[Train]:   5%|▌         | 24/448 [00:03<00:40, 10.35it/s, ce=0.7024, ear=-1.9274, loss=0.5096]
[Train]:   5%|▌         | 24/448 [00:03<00:40, 10.35it/s, ce=0.7014, ear=-1.9282, loss=0.5086]
[Train]:   6%|▌         | 26/448 [00:03<00:40, 10.51it/s, ce=0.7014, ear=-1.9282, loss=0.5086]
[Train]:   6%|▌         | 26/448 [00:03<00:40, 10.51it/s, ce=0.7033, ear=-1.9321, loss=0.5101]
[Train]:   6%|▌         | 26/448 [00:03<00:40, 10.51it/s, ce=0.7023, ear=-1.9306, loss=0.5092]
[Train]:   6%|▋         | 28/448 [00:03<00:40, 10.41it/s, ce=0.7023, ear=-1.9306, loss=0.5092]
[Train]:   6%|▋         | 28/448 [00:03<00:40, 10.41it/s, ce=0.7006, ear=-1.9321, loss=0.5074]
[Train]:   6%|▋         | 28/448 [00:03<00:40, 10.41it/s, ce=0.6987, ear=-1.9287, loss=0.5058]
[Train]:   7%|▋         | 30/448 [00:03<00:40, 10.42it/s, ce=0.6987, ear=-1.9287, loss=0.5058]
[Train]:   7%|▋         | 30/448 [00:03<00:40, 10.42it/s, ce=0.6964, ear=-1.9363, loss=0.5028]
[Train]:   7%|▋         | 30/448 [00:03<00:40, 10.42it/s, ce=0.6983, ear=-1.9383, loss=0.5045]
[Train]:   7%|▋         | 32/448 [00:03<00:39, 10.50it/s, ce=0.6983, ear=-1.9383, loss=0.5045]
[Train]:   7%|▋         | 32/448 [00:03<00:39, 10.50it/s, ce=0.7012, ear=-1.9370, loss=0.5075]
[Train]:   7%|▋         | 32/448 [00:03<00:39, 10.50it/s, ce=0.7010, ear=-1.9379, loss=0.5072]
[Train]:   8%|▊         | 34/448 [00:03<00:39, 10.53it/s, ce=0.7010, ear=-1.9379, loss=0.5072]
[Train]:   8%|▊         | 34/448 [00:04<00:39, 10.53it/s, ce=0.7020, ear=-1.9378, loss=0.5083]
[Train]:   8%|▊         | 34/448 [00:04<00:39, 10.53it/s, ce=0.7020, ear=-1.9347, loss=0.5086]
[Train]:   8%|▊         | 36/448 [00:04<00:39, 10.42it/s, ce=0.7020, ear=-1.9347, loss=0.5086]
[Train]:   8%|▊         | 36/448 [00:04<00:39, 10.42it/s, ce=0.7024, ear=-1.9339, loss=0.5090]
[Train]:   8%|▊         | 36/448 [00:04<00:39, 10.42it/s, ce=0.7020, ear=-1.9347, loss=0.5086]
[Train]:   8%|▊         | 38/448 [00:04<00:39, 10.48it/s, ce=0.7020, ear=-1.9347, loss=0.5086]
[Train]:   8%|▊         | 38/448 [00:04<00:39, 10.48it/s, ce=0.7023, ear=-1.9381, loss=0.5085]
[Train]:   8%|▊         | 38/448 [00:04<00:39, 10.48it/s, ce=0.7013, ear=-1.9345, loss=0.5079]
[Train]:   9%|▉         | 40/448 [00:04<00:38, 10.57it/s, ce=0.7013, ear=-1.9345, loss=0.5079]
[Train]:   9%|▉         | 40/448 [00:04<00:38, 10.57it/s, ce=0.7015, ear=-1.9368, loss=0.5079]
[Train]:   9%|▉         | 40/448 [00:04<00:38, 10.57it/s, ce=0.7001, ear=-1.9354, loss=0.5066]
[Train]:   9%|▉         | 42/448 [00:04<00:38, 10.64it/s, ce=0.7001, ear=-1.9354, loss=0.5066]
[Train]:   9%|▉         | 42/448 [00:04<00:38, 10.64it/s, ce=0.7009, ear=-1.9345, loss=0.5074]
[Train]:   9%|▉         | 42/448 [00:04<00:38, 10.64it/s, ce=0.7013, ear=-1.9359, loss=0.5077]
[Train]:  10%|▉         | 44/448 [00:04<00:38, 10.61it/s, ce=0.7013, ear=-1.9359, loss=0.5077]
[Train]:  10%|▉         | 44/448 [00:05<00:38, 10.61it/s, ce=0.7010, ear=-1.9358, loss=0.5074]
[Train]:  10%|▉         | 44/448 [00:05<00:38, 10.61it/s, ce=0.7015, ear=-1.9401, loss=0.5075]
[Train]:  10%|█         | 46/448 [00:05<00:38, 10.49it/s, ce=0.7015, ear=-1.9401, loss=0.5075]
[Train]:  10%|█         | 46/448 [00:05<00:38, 10.49it/s, ce=0.7025, ear=-1.9402, loss=0.5085]
[Train]:  10%|█         | 46/448 [00:05<00:38, 10.49it/s, ce=0.7028, ear=-1.9432, loss=0.5085]
[Train]:  11%|█         | 48/448 [00:05<00:37, 10.53it/s, ce=0.7028, ear=-1.9432, loss=0.5085]
[Train]:  11%|█         | 48/448 [00:05<00:37, 10.53it/s, ce=0.7035, ear=-1.9433, loss=0.5092]
[Train]:  11%|█         | 48/448 [00:05<00:37, 10.53it/s, ce=0.7039, ear=-1.9466, loss=0.5092]
[Train]:  11%|█         | 50/448 [00:05<00:37, 10.55it/s, ce=0.7039, ear=-1.9466, loss=0.5092]
[Train]:  11%|█         | 50/448 [00:05<00:37, 10.55it/s, ce=0.7053, ear=-1.9482, loss=0.5105]
[Train]:  11%|█         | 50/448 [00:05<00:37, 10.55it/s, ce=0.7066, ear=-1.9493, loss=0.5117]
[Train]:  12%|█▏        | 52/448 [00:05<00:37, 10.58it/s, ce=0.7066, ear=-1.9493, loss=0.5117]
[Train]:  12%|█▏        | 52/448 [00:05<00:37, 10.58it/s, ce=0.7055, ear=-1.9480, loss=0.5107]
[Train]:  12%|█▏        | 52/448 [00:05<00:37, 10.58it/s, ce=0.7053, ear=-1.9500, loss=0.5103]
[Train]:  12%|█▏        | 54/448 [00:05<00:37, 10.47it/s, ce=0.7053, ear=-1.9500, loss=0.5103]
[Train]:  12%|█▏        | 54/448 [00:05<00:37, 10.47it/s, ce=0.7050, ear=-1.9562, loss=0.5094]
[Train]:  12%|█▏        | 54/448 [00:06<00:37, 10.47it/s, ce=0.7055, ear=-1.9604, loss=0.5095]
[Train]:  12%|█▎        | 56/448 [00:06<00:38, 10.28it/s, ce=0.7055, ear=-1.9604, loss=0.5095]
[Train]:  12%|█▎        | 56/448 [00:06<00:38, 10.28it/s, ce=0.7059, ear=-1.9616, loss=0.5097]
[Train]:  12%|█▎        | 56/448 [00:06<00:38, 10.28it/s, ce=0.7059, ear=-1.9670, loss=0.5092]
[Train]:  13%|█▎        | 58/448 [00:06<00:37, 10.41it/s, ce=0.7059, ear=-1.9670, loss=0.5092]
[Train]:  13%|█▎        | 58/448 [00:06<00:37, 10.41it/s, ce=0.7055, ear=-1.9703, loss=0.5085]
[Train]:  13%|█▎        | 58/448 [00:06<00:37, 10.41it/s, ce=0.7050, ear=-1.9745, loss=0.5076]
[Train]:  13%|█▎        | 60/448 [00:06<00:36, 10.52it/s, ce=0.7050, ear=-1.9745, loss=0.5076]
[Train]:  13%|█▎        | 60/448 [00:06<00:36, 10.52it/s, ce=0.7056, ear=-1.9781, loss=0.5078]
[Train]:  13%|█▎        | 60/448 [00:06<00:36, 10.52it/s, ce=0.7057, ear=-1.9802, loss=0.5077]
[Train]:  14%|█▍        | 62/448 [00:06<00:36, 10.57it/s, ce=0.7057, ear=-1.9802, loss=0.5077]
[Train]:  14%|█▍        | 62/448 [00:06<00:36, 10.57it/s, ce=0.7056, ear=-1.9854, loss=0.5071]
[Train]:  14%|█▍        | 62/448 [00:06<00:36, 10.57it/s, ce=0.7059, ear=-1.9865, loss=0.5073]
[Train]:  14%|█▍        | 64/448 [00:06<00:36, 10.62it/s, ce=0.7059, ear=-1.9865, loss=0.5073]
[Train]:  14%|█▍        | 64/448 [00:06<00:36, 10.62it/s, ce=0.7053, ear=-1.9888, loss=0.5064]
[Train]:  14%|█▍        | 64/448 [00:07<00:36, 10.62it/s, ce=0.7050, ear=-1.9897, loss=0.5061]
[Train]:  15%|█▍        | 66/448 [00:07<00:36, 10.57it/s, ce=0.7050, ear=-1.9897, loss=0.5061]
[Train]:  15%|█▍        | 66/448 [00:07<00:36, 10.57it/s, ce=0.7041, ear=-1.9943, loss=0.5047]
[Train]:  15%|█▍        | 66/448 [00:07<00:36, 10.57it/s, ce=0.7048, ear=-2.0001, loss=0.5047]
[Train]:  15%|█▌        | 68/448 [00:07<00:36, 10.46it/s, ce=0.7048, ear=-2.0001, loss=0.5047]
[Train]:  15%|█▌        | 68/448 [00:07<00:36, 10.46it/s, ce=0.7055, ear=-2.0045, loss=0.5051]
[Train]:  15%|█▌        | 68/448 [00:07<00:36, 10.46it/s, ce=0.7061, ear=-2.0075, loss=0.5053]
[Train]:  16%|█▌        | 70/448 [00:07<00:36, 10.45it/s, ce=0.7061, ear=-2.0075, loss=0.5053]
[Train]:  16%|█▌        | 70/448 [00:07<00:36, 10.45it/s, ce=0.7056, ear=-2.0093, loss=0.5047]
[Train]:  16%|█▌        | 70/448 [00:07<00:36, 10.45it/s, ce=0.7057, ear=-2.0153, loss=0.5042]
[Train]:  16%|█▌        | 72/448 [00:07<00:35, 10.46it/s, ce=0.7057, ear=-2.0153, loss=0.5042]
[Train]:  16%|█▌        | 72/448 [00:07<00:35, 10.46it/s, ce=0.7060, ear=-2.0181, loss=0.5042]
[Train]:  16%|█▌        | 72/448 [00:07<00:35, 10.46it/s, ce=0.7052, ear=-2.0219, loss=0.5031]
[Train]:  17%|█▋        | 74/448 [00:07<00:35, 10.44it/s, ce=0.7052, ear=-2.0219, loss=0.5031]
[Train]:  17%|█▋        | 74/448 [00:07<00:35, 10.44it/s, ce=0.7053, ear=-2.0253, loss=0.5028]
[Train]:  17%|█▋        | 74/448 [00:07<00:35, 10.44it/s, ce=0.7053, ear=-2.0258, loss=0.5027]
[Train]:  17%|█▋        | 76/448 [00:07<00:35, 10.48it/s, ce=0.7053, ear=-2.0258, loss=0.5027]
[Train]:  17%|█▋        | 76/448 [00:08<00:35, 10.48it/s, ce=0.7051, ear=-2.0299, loss=0.5021]
[Train]:  17%|█▋        | 76/448 [00:08<00:35, 10.48it/s, ce=0.7052, ear=-2.0330, loss=0.5019]
[Train]:  17%|█▋        | 78/448 [00:08<00:35, 10.43it/s, ce=0.7052, ear=-2.0330, loss=0.5019]
[Train]:  17%|█▋        | 78/448 [00:08<00:35, 10.43it/s, ce=0.7053, ear=-2.0378, loss=0.5015]
[Train]:  17%|█▋        | 78/448 [00:08<00:35, 10.43it/s, ce=0.7049, ear=-2.0421, loss=0.5007]
[Train]:  18%|█▊        | 80/448 [00:08<00:35, 10.48it/s, ce=0.7049, ear=-2.0421, loss=0.5007]
[Train]:  18%|█▊        | 80/448 [00:08<00:35, 10.48it/s, ce=0.7042, ear=-2.0458, loss=0.4996]
[Train]:  18%|█▊        | 80/448 [00:08<00:35, 10.48it/s, ce=0.7042, ear=-2.0488, loss=0.4994]
[Train]:  18%|█▊        | 82/448 [00:08<00:34, 10.58it/s, ce=0.7042, ear=-2.0488, loss=0.4994]
[Train]:  18%|█▊        | 82/448 [00:08<00:34, 10.58it/s, ce=0.7036, ear=-2.0519, loss=0.4984]
[Train]:  18%|█▊        | 82/448 [00:08<00:34, 10.58it/s, ce=0.7035, ear=-2.0558, loss=0.4979]
[Train]:  19%|█▉        | 84/448 [00:08<00:34, 10.66it/s, ce=0.7035, ear=-2.0558, loss=0.4979]
[Train]:  19%|█▉        | 84/448 [00:08<00:34, 10.66it/s, ce=0.7045, ear=-2.0602, loss=0.4984]
[Train]:  19%|█▉        | 84/448 [00:08<00:34, 10.66it/s, ce=0.7046, ear=-2.0619, loss=0.4984]
[Train]:  19%|█▉        | 86/448 [00:08<00:33, 10.68it/s, ce=0.7046, ear=-2.0619, loss=0.4984]
[Train]:  19%|█▉        | 86/448 [00:09<00:33, 10.68it/s, ce=0.7037, ear=-2.0658, loss=0.4971]
[Train]:  19%|█▉        | 86/448 [00:09<00:33, 10.68it/s, ce=0.7029, ear=-2.0719, loss=0.4958]
[Train]:  20%|█▉        | 88/448 [00:09<00:34, 10.59it/s, ce=0.7029, ear=-2.0719, loss=0.4958]
[Train]:  20%|█▉        | 88/448 [00:09<00:34, 10.59it/s, ce=0.7029, ear=-2.0766, loss=0.4952]
[Train]:  20%|█▉        | 88/448 [00:09<00:34, 10.59it/s, ce=0.7030, ear=-2.0816, loss=0.4948]
[Train]:  20%|██        | 90/448 [00:09<00:33, 10.66it/s, ce=0.7030, ear=-2.0816, loss=0.4948]
[Train]:  20%|██        | 90/448 [00:09<00:33, 10.66it/s, ce=0.7034, ear=-2.0853, loss=0.4949]
[Train]:  20%|██        | 90/448 [00:09<00:33, 10.66it/s, ce=0.7035, ear=-2.0902, loss=0.4945]
[Train]:  21%|██        | 92/448 [00:09<00:33, 10.67it/s, ce=0.7035, ear=-2.0902, loss=0.4945]
[Train]:  21%|██        | 92/448 [00:09<00:33, 10.67it/s, ce=0.7027, ear=-2.0924, loss=0.4934]
[Train]:  21%|██        | 92/448 [00:09<00:33, 10.67it/s, ce=0.7031, ear=-2.0962, loss=0.4935]
[Train]:  21%|██        | 94/448 [00:09<00:32, 10.73it/s, ce=0.7031, ear=-2.0962, loss=0.4935]
[Train]:  21%|██        | 94/448 [00:09<00:32, 10.73it/s, ce=0.7035, ear=-2.1002, loss=0.4935]
[Train]:  21%|██        | 94/448 [00:09<00:32, 10.73it/s, ce=0.7033, ear=-2.1033, loss=0.4930]
[Train]:  21%|██▏       | 96/448 [00:09<00:32, 10.74it/s, ce=0.7033, ear=-2.1033, loss=0.4930]
[Train]:  21%|██▏       | 96/448 [00:09<00:32, 10.74it/s, ce=0.7029, ear=-2.1074, loss=0.4922]
[Train]:  21%|██▏       | 96/448 [00:10<00:32, 10.74it/s, ce=0.7034, ear=-2.1111, loss=0.4923]
[Train]:  22%|██▏       | 98/448 [00:10<00:32, 10.61it/s, ce=0.7034, ear=-2.1111, loss=0.4923]
[Train]:  22%|██▏       | 98/448 [00:10<00:32, 10.61it/s, ce=0.7030, ear=-2.1144, loss=0.4916]
[Train]:  22%|██▏       | 98/448 [00:10<00:32, 10.61it/s, ce=0.7035, ear=-2.1185, loss=0.4916]
[Train]:  22%|██▏       | 100/448 [00:10<00:32, 10.65it/s, ce=0.7035, ear=-2.1185, loss=0.4916]
[Train]:  22%|██▏       | 100/448 [00:10<00:32, 10.65it/s, ce=0.7024, ear=-2.1220, loss=0.4902]
[Train]:  22%|██▏       | 100/448 [00:10<00:32, 10.65it/s, ce=0.7029, ear=-2.1257, loss=0.4903]
[Train]:  23%|██▎       | 102/448 [00:10<00:32, 10.57it/s, ce=0.7029, ear=-2.1257, loss=0.4903]
[Train]:  23%|██▎       | 102/448 [00:10<00:32, 10.57it/s, ce=0.7029, ear=-2.1287, loss=0.4900]
[Train]:  23%|██▎       | 102/448 [00:10<00:32, 10.57it/s, ce=0.7030, ear=-2.1302, loss=0.4900]
[Train]:  23%|██▎       | 104/448 [00:10<00:32, 10.52it/s, ce=0.7030, ear=-2.1302, loss=0.4900]
[Train]:  23%|██▎       | 104/448 [00:10<00:32, 10.52it/s, ce=0.7028, ear=-2.1344, loss=0.4894]
[Train]:  23%|██▎       | 104/448 [00:10<00:32, 10.52it/s, ce=0.7027, ear=-2.1397, loss=0.4888]
[Train]:  24%|██▎       | 106/448 [00:10<00:32, 10.56it/s, ce=0.7027, ear=-2.1397, loss=0.4888]
[Train]:  24%|██▎       | 106/448 [00:10<00:32, 10.56it/s, ce=0.7028, ear=-2.1427, loss=0.4886]
[Train]:  24%|██▎       | 106/448 [00:10<00:32, 10.56it/s, ce=0.7030, ear=-2.1465, loss=0.4884]
[Train]:  24%|██▍       | 108/448 [00:10<00:32, 10.54it/s, ce=0.7030, ear=-2.1465, loss=0.4884]
[Train]:  24%|██▍       | 108/448 [00:11<00:32, 10.54it/s, ce=0.7031, ear=-2.1508, loss=0.4880]
[Train]:  24%|██▍       | 108/448 [00:11<00:32, 10.54it/s, ce=0.7033, ear=-2.1550, loss=0.4878]
[Train]:  25%|██▍       | 110/448 [00:11<00:31, 10.57it/s, ce=0.7033, ear=-2.1550, loss=0.4878]
[Train]:  25%|██▍       | 110/448 [00:11<00:31, 10.57it/s, ce=0.7033, ear=-2.1616, loss=0.4871]
[Train]:  25%|██▍       | 110/448 [00:11<00:31, 10.57it/s, ce=0.7031, ear=-2.1643, loss=0.4867]
[Train]:  25%|██▌       | 112/448 [00:11<00:31, 10.64it/s, ce=0.7031, ear=-2.1643, loss=0.4867]
[Train]:  25%|██▌       | 112/448 [00:11<00:31, 10.64it/s, ce=0.7026, ear=-2.1682, loss=0.4858]
[Train]:  25%|██▌       | 112/448 [00:11<00:31, 10.64it/s, ce=0.7024, ear=-2.1715, loss=0.4853]
[Train]:  25%|██▌       | 114/448 [00:11<00:31, 10.70it/s, ce=0.7024, ear=-2.1715, loss=0.4853]
[Train]:  25%|██▌       | 114/448 [00:11<00:31, 10.70it/s, ce=0.7031, ear=-2.1755, loss=0.4856]
[Train]:  25%|██▌       | 114/448 [00:11<00:31, 10.70it/s, ce=0.7031, ear=-2.1793, loss=0.4852]
[Train]:  26%|██▌       | 116/448 [00:11<00:30, 10.76it/s, ce=0.7031, ear=-2.1793, loss=0.4852]
[Train]:  26%|██▌       | 116/448 [00:11<00:30, 10.76it/s, ce=0.7026, ear=-2.1831, loss=0.4843]
[Train]:  26%|██▌       | 116/448 [00:11<00:30, 10.76it/s, ce=0.7032, ear=-2.1841, loss=0.4848]
[Train]:  26%|██▋       | 118/448 [00:11<00:30, 10.76it/s, ce=0.7032, ear=-2.1841, loss=0.4848]
[Train]:  26%|██▋       | 118/448 [00:12<00:30, 10.76it/s, ce=0.7039, ear=-2.1877, loss=0.4851]
[Train]:  26%|██▋       | 118/448 [00:12<00:30, 10.76it/s, ce=0.7044, ear=-2.1912, loss=0.4853]
[Train]:  27%|██▋       | 120/448 [00:12<00:30, 10.64it/s, ce=0.7044, ear=-2.1912, loss=0.4853]
[Train]:  27%|██▋       | 120/448 [00:12<00:30, 10.64it/s, ce=0.7044, ear=-2.1948, loss=0.4849]
[Train]:  27%|██▋       | 120/448 [00:12<00:30, 10.64it/s, ce=0.7043, ear=-2.1999, loss=0.4843]
[Train]:  27%|██▋       | 122/448 [00:12<00:30, 10.67it/s, ce=0.7043, ear=-2.1999, loss=0.4843]
[Train]:  27%|██▋       | 122/448 [00:12<00:30, 10.67it/s, ce=0.7043, ear=-2.2036, loss=0.4840]
[Train]:  27%|██▋       | 122/448 [00:12<00:30, 10.67it/s, ce=0.7042, ear=-2.2061, loss=0.4836]
[Train]:  28%|██▊       | 124/448 [00:12<00:30, 10.72it/s, ce=0.7042, ear=-2.2061, loss=0.4836]
[Train]:  28%|██▊       | 124/448 [00:12<00:30, 10.72it/s, ce=0.7042, ear=-2.2089, loss=0.4833]
[Train]:  28%|██▊       | 124/448 [00:12<00:30, 10.72it/s, ce=0.7041, ear=-2.2119, loss=0.4829]
[Train]:  28%|██▊       | 126/448 [00:12<00:30, 10.68it/s, ce=0.7041, ear=-2.2119, loss=0.4829]
[Train]:  28%|██▊       | 126/448 [00:12<00:30, 10.68it/s, ce=0.7046, ear=-2.2145, loss=0.4831]
[Train]:  28%|██▊       | 126/448 [00:12<00:30, 10.68it/s, ce=0.7046, ear=-2.2168, loss=0.4829]
[Train]:  29%|██▊       | 128/448 [00:12<00:30, 10.55it/s, ce=0.7046, ear=-2.2168, loss=0.4829]
[Train]:  29%|██▊       | 128/448 [00:12<00:30, 10.55it/s, ce=0.7046, ear=-2.2212, loss=0.4825]
[Train]:  29%|██▊       | 128/448 [00:13<00:30, 10.55it/s, ce=0.7045, ear=-2.2254, loss=0.4820]
[Train]:  29%|██▉       | 130/448 [00:13<00:30, 10.52it/s, ce=0.7045, ear=-2.2254, loss=0.4820]
[Train]:  29%|██▉       | 130/448 [00:13<00:30, 10.52it/s, ce=0.7049, ear=-2.2296, loss=0.4819]
[Train]:  29%|██▉       | 130/448 [00:13<00:30, 10.52it/s, ce=0.7048, ear=-2.2329, loss=0.4815]
[Train]:  29%|██▉       | 132/448 [00:13<00:29, 10.59it/s, ce=0.7048, ear=-2.2329, loss=0.4815]
[Train]:  29%|██▉       | 132/448 [00:13<00:29, 10.59it/s, ce=0.7044, ear=-2.2362, loss=0.4808]
[Train]:  29%|██▉       | 132/448 [00:13<00:29, 10.59it/s, ce=0.7049, ear=-2.2393, loss=0.4810]
[Train]:  30%|██▉       | 134/448 [00:13<00:29, 10.68it/s, ce=0.7049, ear=-2.2393, loss=0.4810]
