
>>> [1/63] GetFair | dynahate | seed=2024
>>> Command: python3 src_script/train/train_baseline_getfair.py --dataset dynahate --seed 2024 --lambda_gf 0.5 --epochs 6 --patience 3 --batch_size 16 --grad_accum 2 --lr 2e-5 --max_len 128
>>> Start: Sun Mar 15 07:12:21 CST 2026
/root/miniconda/lib/python3.8/site-packages/torchvision/datapoints/__init__.py:12: UserWarning: The torchvision.datapoints and torchvision.transforms.v2 namespaces are still Beta. While we do not expect major breaking changes, some APIs may still change according to user feedback. Please submit any feedback you may have in this issue: https://github.com/pytorch/vision/issues/6753, and you can also check out https://github.com/pytorch/vision/issues/7319 to learn more about the APIs that we suspect might involve future changes. You can silence this warning by calling torchvision.disable_beta_transforms_warning().
  warnings.warn(_BETA_TRANSFORMS_WARNING)
/root/miniconda/lib/python3.8/site-packages/torchvision/transforms/v2/__init__.py:54: UserWarning: The torchvision.datapoints and torchvision.transforms.v2 namespaces are still Beta. While we do not expect major breaking changes, some APIs may still change according to user feedback. Please submit any feedback you may have in this issue: https://github.com/pytorch/vision/issues/6753, and you can also check out https://github.com/pytorch/vision/issues/7319 to learn more about the APIs that we suspect might involve future changes. You can silence this warning by calling torchvision.disable_beta_transforms_warning().
  warnings.warn(_BETA_TRANSFORMS_WARNING)
[Hardware] TF32 acceleration enabled for Ampere+ GPUs.
[Experiment] GetFair_dynahate_seed2024_0315_0712
[Data] Train: 8844 | Val: 1091 | Test: 1111
[Model] GetFair | lambda_gf=0.5

Epoch 1/6

[Train]:   0%|          | 0/553 [00:00<?, ?it/s]
[Train]:  12%|█▏        | 67/553 [00:15<01:44,  4.65it/s, ce=0.7070, gf=0.0000, loss=0.7070]
[Train]:  12%|█▏        | 68/553 [00:15<01:47,  4.52it/s, ce=0.7070, gf=0.0000, loss=0.7070]
[Train]:  12%|█▏        | 68/553 [00:15<01:47,  4.52it/s, ce=0.7062, gf=0.0000, loss=0.7062]
[Train]:  12%|█▏        | 69/553 [00:15<01:46,  4.54it/s, ce=0.7062, gf=0.0000, loss=0.7062]
[Train]:  12%|█▏        | 69/553 [00:15<01:46,  4.54it/s, ce=0.7065, gf=0.0000, loss=0.7065]
[Train]:  13%|█▎        | 70/553 [00:15<01:47,  4.49it/s, ce=0.7065, gf=0.0000, loss=0.7065]
[Train]:  13%|█▎        | 70/553 [00:16<01:47,  4.49it/s, ce=0.7063, gf=0.0000, loss=0.7063]
[Train]:  13%|█▎        | 71/553 [00:16<01:44,  4.60it/s, ce=0.7063, gf=0.0000, loss=0.7063]
[Train]:  13%|█▎        | 71/553 [00:16<01:44,  4.60it/s, ce=0.7058, gf=0.0000, loss=0.7058]
[Train]:  13%|█▎        | 72/553 [00:16<01:46,  4.52it/s, ce=0.7058, gf=0.0000, loss=0.7058]
[Train]:  13%|█▎        | 72/553 [00:16<01:46,  4.52it/s, ce=0.7051, gf=0.0000, loss=0.7051]
[Train]:  13%|█▎        | 73/553 [00:16<01:45,  4.54it/s, ce=0.7051, gf=0.0000, loss=0.7051]
[Train]:  13%|█▎        | 73/553 [00:16<01:45,  4.54it/s, ce=0.7055, gf=0.0000, loss=0.7055]
[Train]:  13%|█▎        | 74/553 [00:16<01:46,  4.48it/s, ce=0.7055, gf=0.0000, loss=0.7055]
[Train]:  13%|█▎        | 74/553 [00:16<01:46,  4.48it/s, ce=0.7050, gf=0.0000, loss=0.7050]
[Train]:  14%|█▎        | 75/553 [00:16<01:44,  4.59it/s, ce=0.7050, gf=0.0000, loss=0.7050]
[Train]:  14%|█▎        | 75/553 [00:17<01:44,  4.59it/s, ce=0.7048, gf=0.0000, loss=0.7049]
[Train]:  14%|█▎        | 76/553 [00:17<01:45,  4.52it/s, ce=0.7048, gf=0.0000, loss=0.7049]
[Train]:  14%|█▎        | 76/553 [00:17<01:45,  4.52it/s, ce=0.7051, gf=0.0000, loss=0.7051]
[Train]:  14%|█▍        | 77/553 [00:17<01:43,  4.61it/s, ce=0.7051, gf=0.0000, loss=0.7051]
[Train]:  14%|█▍        | 77/553 [00:17<01:43,  4.61it/s, ce=0.7044, gf=0.0000, loss=0.7044]
[Train]:  14%|█▍        | 78/553 [00:17<01:45,  4.50it/s, ce=0.7044, gf=0.0000, loss=0.7044]
[Train]:  14%|█▍        | 78/553 [00:17<01:45,  4.50it/s, ce=0.7050, gf=0.0000, loss=0.7050]
[Train]:  14%|█▍        | 79/553 [00:17<01:42,  4.60it/s, ce=0.7050, gf=0.0000, loss=0.7050]
[Train]:  14%|█▍        | 79/553 [00:17<01:42,  4.60it/s, ce=0.7048, gf=0.0000, loss=0.7048]
[Train]:  14%|█▍        | 80/553 [00:17<01:44,  4.53it/s, ce=0.7048, gf=0.0000, loss=0.7048]
[Train]:  14%|█▍        | 80/553 [00:18<01:44,  4.53it/s, ce=0.7049, gf=0.0000, loss=0.7049]
[Train]:  15%|█▍        | 81/553 [00:18<01:42,  4.62it/s, ce=0.7049, gf=0.0000, loss=0.7049]
[Train]:  15%|█▍        | 81/553 [00:18<01:42,  4.62it/s, ce=0.7048, gf=0.0000, loss=0.7048]
[Train]:  15%|█▍        | 82/553 [00:18<01:45,  4.46it/s, ce=0.7048, gf=0.0000, loss=0.7048]
[Train]:  15%|█▍        | 82/553 [00:18<01:45,  4.46it/s, ce=0.7052, gf=0.0000, loss=0.7052]
[Train]:  15%|█▌        | 83/553 [00:18<01:43,  4.55it/s, ce=0.7052, gf=0.0000, loss=0.7052]
[Train]:  15%|█▌        | 83/553 [00:18<01:43,  4.55it/s, ce=0.7047, gf=0.0000, loss=0.7047]
[Train]:  15%|█▌        | 84/553 [00:18<01:44,  4.48it/s, ce=0.7047, gf=0.0000, loss=0.7047]
[Train]:  15%|█▌        | 84/553 [00:19<01:44,  4.48it/s, ce=0.7045, gf=0.0000, loss=0.7045]
[Train]:  15%|█▌        | 85/553 [00:19<01:42,  4.57it/s, ce=0.7045, gf=0.0000, loss=0.7045]
[Train]:  15%|█▌        | 85/553 [00:19<01:42,  4.57it/s, ce=0.7040, gf=0.0000, loss=0.7040]
[Train]:  16%|█▌        | 86/553 [00:19<01:44,  4.47it/s, ce=0.7040, gf=0.0000, loss=0.7040]
[Train]:  16%|█▌        | 86/553 [00:19<01:44,  4.47it/s, ce=0.7037, gf=0.0000, loss=0.7037]
[Train]:  16%|█▌        | 87/553 [00:19<01:43,  4.49it/s, ce=0.7037, gf=0.0000, loss=0.7037]
[Train]:  16%|█▌        | 87/553 [00:19<01:43,  4.49it/s, ce=0.7036, gf=0.0000, loss=0.7036]
[Train]:  16%|█▌        | 88/553 [00:19<01:45,  4.42it/s, ce=0.7036, gf=0.0000, loss=0.7036]
[Train]:  16%|█▌        | 88/553 [00:19<01:45,  4.42it/s, ce=0.7036, gf=0.0000, loss=0.7036]
[Train]:  16%|█▌        | 89/553 [00:19<01:42,  4.54it/s, ce=0.7036, gf=0.0000, loss=0.7036]
[Train]:  16%|█▌        | 89/553 [00:20<01:42,  4.54it/s, ce=0.7035, gf=0.0000, loss=0.7035]
[Train]:  16%|█▋        | 90/553 [00:20<01:43,  4.47it/s, ce=0.7035, gf=0.0000, loss=0.7035]
[Train]:  16%|█▋        | 90/553 [00:20<01:43,  4.47it/s, ce=0.7037, gf=0.0000, loss=0.7037]
[Train]:  16%|█▋        | 91/553 [00:20<01:40,  4.58it/s, ce=0.7037, gf=0.0000, loss=0.7037]
[Train]:  16%|█▋        | 91/553 [00:20<01:40,  4.58it/s, ce=0.7028, gf=0.0000, loss=0.7028]
[Train]:  17%|█▋        | 92/553 [00:20<01:42,  4.50it/s, ce=0.7028, gf=0.0000, loss=0.7028]
[Train]:  17%|█▋        | 92/553 [00:20<01:42,  4.50it/s, ce=0.7020, gf=0.0000, loss=0.7020]
[Train]:  17%|█▋        | 93/553 [00:20<01:40,  4.60it/s, ce=0.7020, gf=0.0000, loss=0.7020]
[Train]:  17%|█▋        | 93/553 [00:21<01:40,  4.60it/s, ce=0.7020, gf=0.0000, loss=0.7020]
[Train]:  17%|█▋        | 94/553 [00:21<01:41,  4.51it/s, ce=0.7020, gf=0.0000, loss=0.7020]
[Train]:  17%|█▋        | 94/553 [00:21<01:41,  4.51it/s, ce=0.7020, gf=0.0000, loss=0.7021]
[Train]:  17%|█▋        | 95/553 [00:21<01:39,  4.62it/s, ce=0.7020, gf=0.0000, loss=0.7021]
[Train]:  17%|█▋        | 95/553 [00:21<01:39,  4.62it/s, ce=0.7018, gf=0.0000, loss=0.7018]
[Train]:  17%|█▋        | 96/553 [00:21<01:40,  4.54it/s, ce=0.7018, gf=0.0000, loss=0.7018]
[Train]:  17%|█▋        | 96/553 [00:21<01:40,  4.54it/s, ce=0.7015, gf=0.0000, loss=0.7015]
[Train]:  18%|█▊        | 97/553 [00:21<01:38,  4.62it/s, ce=0.7015, gf=0.0000, loss=0.7015]
[Train]:  18%|█▊        | 97/553 [00:21<01:38,  4.62it/s, ce=0.7012, gf=0.0000, loss=0.7012]
[Train]:  18%|█▊        | 98/553 [00:21<01:40,  4.51it/s, ce=0.7012, gf=0.0000, loss=0.7012]
[Train]:  18%|█▊        | 98/553 [00:22<01:40,  4.51it/s, ce=0.7012, gf=0.0000, loss=0.7012]
[Train]:  18%|█▊        | 99/553 [00:22<01:39,  4.57it/s, ce=0.7012, gf=0.0000, loss=0.7012]
[Train]:  18%|█▊        | 99/553 [00:22<01:39,  4.57it/s, ce=0.7013, gf=0.0000, loss=0.7013]
[Train]:  18%|█▊        | 100/553 [00:22<01:41,  4.48it/s, ce=0.7013, gf=0.0000, loss=0.7013]
[Train]:  18%|█▊        | 100/553 [00:22<01:41,  4.48it/s, ce=0.7008, gf=0.0000, loss=0.7008]
[Train]:  18%|█▊        | 101/553 [00:22<01:38,  4.59it/s, ce=0.7008, gf=0.0000, loss=0.7008]
[Train]:  18%|█▊        | 101/553 [00:22<01:38,  4.59it/s, ce=0.7003, gf=0.0000, loss=0.7003]
[Train]:  18%|█▊        | 102/553 [00:22<01:40,  4.50it/s, ce=0.7003, gf=0.0000, loss=0.7003]
[Train]:  18%|█▊        | 102/553 [00:23<01:40,  4.50it/s, ce=0.7003, gf=0.0000, loss=0.7003]
[Train]:  19%|█▊        | 103/553 [00:23<01:37,  4.60it/s, ce=0.7003, gf=0.0000, loss=0.7003]
[Train]:  19%|█▊        | 103/553 [00:23<01:37,  4.60it/s, ce=0.7004, gf=0.0000, loss=0.7004]
[Train]:  19%|█▉        | 104/553 [00:23<01:39,  4.51it/s, ce=0.7004, gf=0.0000, loss=0.7004]
